0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,5.08693,0.05,0,2.16737,2.46977,0,0,4.47552,4.54139e+06,2.70226e+06,9.84288e+06,0,0,0,0,62.3362,61.308,4.65984,0,1,1.73502,1.43262,0,0,2.1168,9.43793e+06,3.61194e+06,1.6375e+07,0,0,0,0
85.139,85.139,18.2229,0.05,0,2.18918,2.47084,0,0.406166,4.47552,4.54139e+06,2.70226e+06,9.94191e+06,0,0,0,0,62.3362,61.308,15.0301,0,1,1.7149,1.43324,0,1.34047,2.1168,9.43793e+06,3.61194e+06,1.61851e+07,0,0,0,0
85.139,85.139,20.8791,0.05,0,2.19086,2.47191,0,0.410252,4.47552,4.54139e+06,2.70226e+06,9.94957e+06,0,0,0,0,62.3362,61.308,24.4673,0,1,1.7149,1.43386,0,1.32493,2.1168,9.43793e+06,3.61194e+06,1.61851e+07,0,0,0,0
85.139,85.139,10.9812,0.05,0,2.19255,2.47298,0,0.410568,4.47552,4.54139e+06,2.70226e+06,9.95724e+06,0,0,0,0,62.3362,61.308,13.3529,0,1,1.7149,1.43448,0,1.32493,2.1168,9.43793e+06,3.61194e+06,1.61851e+07,0,0,0,0
85.139,85.139,9.60847,0.05,0,2.43555,2.71536,0,0.410884,4.47552,4.54139e+06,2.70226e+06,1.10608e+07,0,0,0,0,62.3362,61.308,9.00428,0,1,1.88364,1.60383,0,1.32493,2.1168,9.43793e+06,3.61194e+06,1.77776e+07,0,0,0,0
85.139,85.139,7.25448,0.05,0,2.60608,2.71653,0,0.456423,4.47552,4.54139e+06,2.70226e+06,1.18352e+07,0,0,0,0,62.3362,61.308,8.97636,0,1,1.71497,1.60452,0,1.4553,2.1168,9.43793e+06,3.61194e+06,1.61858e+07,0,0,0,0
85.139,85.139,8.4951,0.05,0,2.60795,2.71771,0,0.48838,4.47552,4.54139e+06,2.70226e+06,1.18437e+07,0,0,0,0,62.3362,61.308,9.5147,0,1,1.71497,1.60522,0,1.32499,2.1168,9.43793e+06,3.61194e+06,1.61858e+07,0,0,0,0
85.139,85.139,8.55054,0.05,0,2.60982,2.71888,0,0.48873,4.47552,4.54139e+06,2.70226e+06,1.18522e+07,0,0,0,0,62.3362,61.308,8.88198,0,1,1.71497,1.60591,0,1.32499,2.1168,9.43793e+06,3.61194e+06,1.61858e+07,0,0,0,0
85.139,85.139,9.68659,0.05,0,2.2669,2.37527,0,0.48908,4.47552,4.54139e+06,2.70226e+06,1.02949e+07,0,0,0,0,62.3362,61.308,9.01531,0,1,1.48814,1.37977,0,1.32499,2.1168,9.43793e+06,3.61194e+06,1.40449e+07,0,0,0,0
85.139,85.139,6.40139,0.05,0,2.07389,2.37629,0,0.424817,4.47552,4.54139e+06,2.70226e+06,9.41837e+06,0,0,0,0,62.3362,61.308,8.81469,0,1,1.68276,1.38036,0,1.14973,2.1168,9.43793e+06,3.61194e+06,1.58818e+07,0,0,0,0
