0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,3.11087e+179,2.54705e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.53787e+07,-861191,861191,1.35808e+07
0,0,0,0,0,2.53836e+07,-859938,859938,1.35808e+07
0,0,0,0,0,2.53886e+07,-858684,858684,1.35808e+07
0,0,0,0,0,2.80037e+07,-857431,857431,1.35808e+07
0,0,0,0,0,2.72072e+07,-340562,340562,1.35808e+07
0,0,0,0,0,2.72127e+07,-339160,339160,1.35808e+07
0,0,0,0,0,2.72181e+07,-337757,337757,1.35808e+07
0,0,0,0,0,2.36268e+07,-336355,336355,1.35808e+07
0,0,0,0,0,2.45486e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.45552e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.45618e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.45684e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.5467e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.53608e+07,-851959,851959,1.35808e+07
0,0,0,0,0,2.53657e+07,-850703,850703,1.35808e+07
0,0,0,0,0,2.53707e+07,-849448,849448,1.35808e+07
0,0,0,0,0,2.50278e+07,-848192,848192,1.35808e+07
0,0,0,0,0,2.51353e+07,-912926,912926,1.35808e+07
0,0,0,0,0,2.51401e+07,-911689,911689,1.35808e+07
0,0,0,0,0,2.5145e+07,-910450,910450,1.35808e+07
0,0,0,0,0,2.63619e+07,-909212,909212,1.35808e+07
0,0,0,0,0,2.60026e+07,-673683,673683,1.35808e+07
0,0,0,0,0,2.60077e+07,-672377,672377,1.35808e+07
0,0,0,0,0,2.60128e+07,-671071,671071,1.35808e+07
0,0,0,0,0,2.60179e+07,-669764,669764,1.35808e+07
0,0,0,0,0,2.63088e+07,-668457,668457,1.35808e+07
0,0,0,0,0,2.61134e+07,-538196,538196,1.35808e+07
0,0,0,0,0,2.61185e+07,-536851,536851,1.35808e+07
0,0,0,0,0,2.61236e+07,-535506,535506,1.35808e+07
0,0,0,0,0,2.67347e+07,-534161,534161,1.35808e+07
0,0,0,0,0,2.6561e+07,-417757,417757,1.35808e+07
0,0,0,0,0,2.65662e+07,-416379,416379,1.35808e+07
0,0,0,0,0,2.65715e+07,-414999,414999,1.35808e+07
0,0,0,0,0,2.85884e+07,-413620,413620,1.35808e+07
0,0,0,0,0,2.79529e+07,0,0,1.35808e+07
0,0,0,0,0,2.79608e+07,0,0,1.35808e+07
0,0,0,0,0,2.79688e+07,0,0,1.35808e+07
0,0,0,0,0,2.79768e+07,0,0,1.35808e+07
0,0,0,0,0,2.68537e+07,0,0,1.35808e+07
0,0,0,0,0,2.72374e+07,-241687,241687,1.35808e+07
0,0,0,0,0,2.72428e+07,-240258,240258,1.35808e+07
0,0,0,0,0,2.72483e+07,-238829,238829,1.35808e+07
0,0,0,0,0,2.62564e+07,-237399,237399,1.35808e+07
0,0,0,0,0,2.66199e+07,-466271,466271,1.35808e+07
0,0,0,0,0,2.66252e+07,-464906,464906,1.35808e+07
0,0,0,0,0,2.66304e+07,-463542,463542,1.35808e+07
0,0,0,0,0,2.43235e+07,-462176,462176,1.35808e+07
0,0,0,0,0,2.50497e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.50565e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.50632e+07,-924594,924594,1.35808e+07
0,0,0,0,0,2.507e+07,-924594,924594,1.35808e+07
0,0,0,5.98956e+07,3.11087e+179,2.58301e+07,-924594,924594,1.35808e+07
0,0,0,5.98956e+07,0,2.56362e+07,-795636,795636,1.35808e+07
0,0,0,5.98956e+07,0,2.56411e+07,-794405,794405,1.35808e+07
0,0,0,5.98956e+07,0,2.56459e+07,-793174,793174,1.35808e+07
0,0,0,5.98956e+07,0,2.83e+07,-791943,791943,1.35808e+07
0,0,0,5.98956e+07,0,2.74914e+07,-267399,267399,1.35808e+07
0,0,0,5.98956e+07,0,2.74967e+07,-266023,266023,1.35808e+07
0,0,0,5.98956e+07,0,2.75021e+07,-264646,264646,1.35808e+07
0,0,0,5.98956e+07,0,2.38571e+07,-263268,263268,1.35808e+07
0,0,0,5.98956e+07,0,2.48925e+07,-924594,924594,1.35808e+07
0,0,0,5.98956e+07,0,2.4899e+07,-924594,924594,1.35808e+07
0,0,0,5.98956e+07,0,2.49054e+07,-924594,924594,1.35808e+07
0,0,0,5.98956e+07,0,2.49119e+07,-924594,924594,1.35808e+07
0,0,0,5.98956e+07,0,2.58236e+07,-924594,924594,1.35808e+07
0,0,0,5.98956e+07,0,2.5616e+07,-786803,786803,1.35808e+07
0,0,0,5.98956e+07,0,2.56208e+07,-785571,785571,1.35808e+07
