0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,6.33318,0.05,0,0.755493,2.46977,0,0,4.47552,4.08921e+06,2.70226e+06,3.08937e+06,0,0,0,0,80.8192,79.791,8.83284,0,0,2.1168,1.12031,0.717786,0,2.1168,8.49821e+06,3.61194e+06,1.7989e+07,0,0,0,0
85.139,85.139,8.35974,0.05,0,1.87658,2.47055,0,0.141579,4.47552,4.08921e+06,2.70226e+06,7.67371e+06,0,0,0,0,80.8192,79.791,11.5331,0,0,1.71463,1.12066,0,1.63544,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,16.2219,0.05,0,1.87771,2.47133,0,0.35167,4.47552,4.08921e+06,2.70226e+06,7.67833e+06,0,0,0,0,80.8192,79.791,13.8307,0,0,1.71463,1.12101,0,1.32473,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,7.34352,0.05,0,1.87884,2.47211,0,0.351882,4.47552,4.08921e+06,2.70226e+06,7.68296e+06,0,0,0,0,80.8192,79.791,7.82612,0,0,1.71463,1.12136,0,1.32473,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,5.47071,0.05,0,2.12117,2.71408,0,0.352094,4.47552,4.08921e+06,2.70226e+06,8.6739e+06,0,0,0,0,80.8192,79.791,6.63208,0,0,1.84652,1.25361,0,1.32473,2.1168,8.49821e+06,3.61194e+06,1.56921e+07,0,0,0,0
85.139,85.139,7.04673,0.05,0,2.25426,2.71494,0,0.397507,4.47552,4.08921e+06,2.70226e+06,9.21816e+06,0,0,0,0,80.8192,79.791,7.95644,0,0,1.71467,1.254,0,1.42662,2.1168,8.49821e+06,3.61194e+06,1.45717e+07,0,0,0,0
85.139,85.139,8.70207,0.05,0,2.25551,2.71579,0,0.422449,4.47552,4.08921e+06,2.70226e+06,9.22327e+06,0,0,0,0,80.8192,79.791,9.22242,0,0,1.71467,1.2544,0,1.32476,2.1168,8.49821e+06,3.61194e+06,1.45717e+07,0,0,0,0
85.139,85.139,7.4889,0.05,0,2.25676,2.71665,0,0.422683,4.47552,4.08921e+06,2.70226e+06,9.22837e+06,0,0,0,0,80.8192,79.791,8.10716,0,0,1.71467,1.25479,0,1.32476,2.1168,8.49821e+06,3.61194e+06,1.45717e+07,0,0,0,0
85.139,85.139,6.36187,0.05,0,1.91355,2.37304,0,0.422917,4.47552,4.08921e+06,2.70226e+06,7.82491e+06,0,0,0,0,80.8192,79.791,5.90907,0,0,1.53745,1.07797,0,1.32476,2.1168,8.49821e+06,3.61194e+06,1.30656e+07,0,0,0,0
85.139,85.139,5.15461,0.05,0,1.73747,2.37379,0,0.358599,4.47552,4.08921e+06,2.70226e+06,7.10489e+06,0,0,0,0,80.8192,79.791,5.04323,0,0,1.71462,1.0783,0,1.18784,2.1168,8.49821e+06,3.61194e+06,1.45712e+07,0,0,0,0
85.139,85.139,5.75713,0.05,0,1.73856,2.37453,0,0.325602,4.47552,4.08921e+06,2.70226e+06,7.10933e+06,0,0,0,0,80.8192,79.791,6.57649,0,0,1.71462,1.07864,0,1.32471,2.1168,8.49821e+06,3.61194e+06,1.45712e+07,0,0,0,0
85.139,85.139,5.49047,0.05,0,1.73964,2.37528,0,0.325806,4.47552,4.08921e+06,2.70226e+06,7.11377e+06,0,0,0,0,80.8192,79.791,6.87352,0,0,1.71462,1.07898,0,1.32471,2.1168,8.49821e+06,3.61194e+06,1.45712e+07,0,0,0,0
85.139,85.139,5.6257,0.05,0,1.74073,2.37603,0,0.326009,4.47552,4.08921e+06,2.70226e+06,7.11821e+06,0,0,0,0,80.8192,79.791,7.5591,0,0,1.71462,1.07932,0,1.32471,2.1168,8.49821e+06,3.61194e+06,1.45712e+07,0,0,0,0
85.139,85.139,6.259,0.05,0,1.82866,2.46362,0,0.326213,4.47552,4.08921e+06,2.70226e+06,7.47777e+06,0,0,0,0,80.8192,79.791,7.22273,0,0,1.75804,1.12308,0,1.32471,2.1168,8.49821e+06,3.61194e+06,1.49402e+07,0,0,0,0
85.139,85.139,4.91585,0.05,0,1.8732,2.46439,0,0.342691,4.47552,4.08921e+06,2.70226e+06,7.65989e+06,0,0,0,0,80.8192,79.791,6.1382,0,0,1.71463,1.12344,0,1.35826,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,4.56953,0.05,0,1.87433,2.46517,0,0.351037,4.47552,4.08921e+06,2.70226e+06,7.66451e+06,0,0,0,0,80.8192,79.791,5.56923,0,0,1.71463,1.12379,0,1.32473,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,3.9693,0.05,0,1.87545,2.46594,0,0.351249,4.47552,4.08921e+06,2.70226e+06,7.66912e+06,0,0,0,0,80.8192,79.791,5.01598,0,0,1.71463,1.12414,0,1.32473,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,4.39694,0.05,0,1.84259,2.43272,0,0.35146,4.47552,4.08921e+06,2.70226e+06,7.53472e+06,0,0,0,0,80.8192,79.791,6.8088,0,0,1.69775,1.10761,0,1.32473,2.1168,8.49821e+06,3.61194e+06,1.44278e+07,0,0,0,0
85.139,85.139,3.5869,0.05,0,1.82682,2.43349,0,0.3453,4.47552,4.08921e+06,2.70226e+06,7.47024e+06,0,0,0,0,80.8192,79.791,5.39267,0,0,1.71463,1.10796,0,1.31168,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,3.03761,0.05,0,1.82793,2.43425,0,0.342346,4.47552,4.08921e+06,2.70226e+06,7.47479e+06,0,0,0,0,80.8192,79.791,4.8808,0,0,1.71463,1.10831,0,1.32472,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
85.139,85.139,2.78923,0.04,0,1.82904,2.43502,0,0.342554,4.47552,4.08921e+06,2.70226e+06,7.47935e+06,0,0,0,0,80.8192,79.791,3.97735,0,0,1.71463,1.10866,0,1.32472,2.1168,8.49821e+06,3.61194e+06,1.45713e+07,0,0,0,0
