0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
622183,0,0,0,1.25761e-71,2.09569e+07,622183,0,1.34451e+07
1.24458e+06,0,0,0,0,2.0964e+07,622394,0,1.34451e+07
1.86718e+06,0,0,0,0,2.09711e+07,622605,0,1.34451e+07
2.49e+06,0,0,0,0,2.09782e+07,622816,0,1.34451e+07
3.17983e+06,0,0,0,0,2.32363e+07,689834,0,1.34451e+07
3.8699e+06,0,0,0,0,2.32441e+07,690068,0,1.34451e+07
4.5602e+06,0,0,0,0,2.3252e+07,690302,0,1.34451e+07
5.25074e+06,0,0,0,0,2.32599e+07,690536,0,1.34451e+07
5.84908e+06,0,0,0,0,2.01539e+07,598343,0,1.34451e+07
6.44763e+06,0,0,0,0,2.01608e+07,598545,0,1.34451e+07
7.04637e+06,0,0,0,0,2.01676e+07,598748,0,1.34451e+07
7.64532e+06,0,0,0,0,2.01744e+07,598951,0,1.34451e+07
8.24448e+06,0,0,0,0,2.01813e+07,599154,0,1.34451e+07
8.8668e+06,0,0,0,0,2.09618e+07,622324,0,1.34451e+07
9.48934e+06,0,0,0,0,2.09689e+07,622535,0,1.34451e+07
1.01121e+07,0,0,0,0,2.0976e+07,622745,0,1.34451e+07
1.0735e+07,0,0,0,0,2.09831e+07,622956,0,1.34451e+07
1.13492e+07,0,0,0,0,2.06883e+07,614205,0,1.34451e+07
1.19637e+07,0,0,0,0,2.06953e+07,614413,0,1.34451e+07
1.25783e+07,0,0,0,0,2.07023e+07,614621,0,1.34451e+07
1.31931e+07,0,0,0,0,2.07093e+07,614829,0,1.34451e+07
1.38393e+07,0,0,0,0,2.17658e+07,646188,0,1.34451e+07
1.44857e+07,0,0,0,0,2.17732e+07,646407,0,1.34451e+07
1.51323e+07,0,0,0,0,2.17805e+07,646626,0,1.34451e+07
1.57792e+07,0,0,0,0,2.17879e+07,646844,0,1.34451e+07
1.64262e+07,0,0,0,0,2.17953e+07,647063,0,1.34451e+07
1.70794e+07,0,0,0,0,2.20024e+07,653175,0,1.34451e+07
1.77328e+07,0,0,0,0,2.20099e+07,653396,0,1.34451e+07
1.83864e+07,0,0,0,0,2.20173e+07,653617,0,1.34451e+07
1.90403e+07,0,0,0,0,2.20247e+07,653838,0,1.34451e+07
1.97099e+07,0,0,0,0,2.25584e+07,669679,0,1.34451e+07
2.03798e+07,0,0,0,0,2.2566e+07,669906,0,1.34451e+07
2.105e+07,0,0,0,0,2.25737e+07,670132,0,1.34451e+07
2.17203e+07,0,0,0,0,2.25813e+07,670359,0,1.34451e+07
2.24421e+07,0,0,0,0,2.43144e+07,721789,0,1.34451e+07
2.31642e+07,0,0,0,0,2.43226e+07,722033,0,1.34451e+07
2.38864e+07,0,0,0,0,2.43309e+07,722277,0,1.34451e+07
2.4609e+07,0,0,0,0,2.43391e+07,722521,0,1.34451e+07
2.53317e+07,0,0,0,0,2.43473e+07,722765,0,1.34451e+07
2.60263e+07,0,0,0,0,2.33973e+07,694584,0,1.34451e+07
2.67211e+07,0,0,0,0,2.34052e+07,694819,0,1.34451e+07
2.74162e+07,0,0,0,0,2.34131e+07,695054,0,1.34451e+07
2.81115e+07,0,0,0,0,2.3421e+07,695289,0,1.34451e+07
2.87821e+07,0,0,0,0,2.25887e+07,670602,0,1.34451e+07
2.94529e+07,0,0,0,0,2.25964e+07,670828,0,1.34451e+07
3.0124e+07,0,0,0,0,2.2604e+07,671055,0,1.34451e+07
3.07952e+07,0,0,0,0,2.26116e+07,671281,0,1.34451e+07
3.14079e+07,0,0,0,0,2.06361e+07,612660,0,1.34451e+07
3.20208e+07,0,0,0,0,2.06431e+07,612867,0,1.34451e+07
3.26338e+07,0,0,0,0,2.065e+07,613074,0,1.34451e+07
3.32471e+07,0,0,0,0,2.0657e+07,613281,0,1.34451e+07
0,0,1.20949e+10,0,0,2.0664e+07,613488,1.20611e+10,1.34451e+07
633215,0,0,0,1.25761e-71,2.13285e+07,633215,0,1.34451e+07
1.26664e+06,0,0,0,0,2.13355e+07,633422,0,1.34451e+07
1.90027e+06,0,0,0,0,2.13424e+07,633629,0,1.34451e+07
2.5341e+06,0,0,0,0,2.13494e+07,633836,0,1.34451e+07
3.23614e+06,0,0,0,0,2.36471e+07,702033,0,1.34451e+07
3.9384e+06,0,0,0,0,2.36549e+07,702262,0,1.34451e+07
4.64089e+06,0,0,0,0,2.36626e+07,702492,0,1.34451e+07
5.34361e+06,0,0,0,0,2.36703e+07,702722,0,1.34451e+07
5.95251e+06,0,0,0,0,2.05093e+07,608894,0,1.34451e+07
6.5616e+06,0,0,0,0,2.0516e+07,609093,0,1.34451e+07
7.17089e+06,0,0,0,0,2.05227e+07,609292,0,1.34451e+07
7.78038e+06,0,0,0,0,2.05295e+07,609491,0,1.34451e+07
8.39007e+06,0,0,0,0,2.05362e+07,609691,0,1.34451e+07
9.02333e+06,0,0,0,0,2.13302e+07,633261,0,1.34451e+07
9.6568e+06,0,0,0,0,2.13372e+07,633468,0,1.34451e+07
1.02905e+07,0,0,0,0,2.13441e+07,633675,0,1.34451e+07
