0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
84.3456,85.139,2.12928,0,0,2.46977,2.46977,0,0,4.47552,4.5014e+06,2.70226e+06,1.11174e+07,0,0,0,0,99.3022,98.274,3.58749,0,1,1.43262,1.43262,0,0,2.1168,9.35484e+06,3.61194e+06,1.34019e+07,0,0,0,0
84.8941,85.139,3.42994,0,0,2.47029,2.47029,0,0.462835,4.47552,4.5014e+06,2.70226e+06,1.11198e+07,0,0,0,0,99.3022,98.274,3.95179,0,1,1.43292,1.43292,0,1.10684,2.1168,9.35484e+06,3.61194e+06,1.34047e+07,0,0,0,0
84.515,85.139,2.5134,0,0,2.47082,2.47082,0,0.462933,4.47552,4.5014e+06,2.70226e+06,1.11221e+07,0,0,0,0,99.3022,98.274,3.68343,0,1,1.43322,1.43322,0,1.10707,2.1168,9.35484e+06,3.61194e+06,1.34076e+07,0,0,0,0
83.4267,85.139,1.82022,0,0,2.47134,2.47134,0,0.463031,4.47552,4.5014e+06,2.70226e+06,1.11245e+07,0,0,0,0,99.3022,98.274,4.05969,0,1,1.43353,1.43353,0,1.10731,2.1168,9.35484e+06,3.61194e+06,1.34104e+07,0,0,0,0
83.1673,85.139,2.89137,0,0,2.71296,2.71296,0,0.463129,4.47552,4.5014e+06,2.70226e+06,1.22121e+07,0,0,0,0,99.3022,98.274,4.3936,0,1,1.60242,1.60242,0,1.10754,2.1168,9.35484e+06,3.61194e+06,1.49903e+07,0,0,0,0
82.8432,85.139,2.81158,0,0,2.71354,2.71354,0,0.508409,4.47552,4.5014e+06,2.70226e+06,1.22147e+07,0,0,0,0,99.3022,98.274,3.94897,0,1,1.60276,1.60276,0,1.23803,2.1168,9.35484e+06,3.61194e+06,1.49935e+07,0,0,0,0
82.7933,85.139,3.08791,0,0,2.71411,2.71411,0,0.508517,4.47552,4.5014e+06,2.70226e+06,1.22173e+07,0,0,0,0,99.3022,98.274,4.73894,0,1,1.60309,1.60309,0,1.23829,2.1168,9.35484e+06,3.61194e+06,1.49967e+07,0,0,0,0
82.9511,85.139,3.3355,0,0,2.71468,2.71468,0,0.508624,4.47552,4.5014e+06,2.70226e+06,1.22199e+07,0,0,0,0,99.3022,98.274,4.58266,0,1,1.60343,1.60343,0,1.23855,2.1168,9.35484e+06,3.61194e+06,1.49999e+07,0,0,0,0
84.5755,85.139,4.60207,0,0,2.37108,2.37108,0,0.508732,4.47552,4.5014e+06,2.70226e+06,1.06732e+07,0,0,0,0,99.3022,98.274,6.38458,0,1,1.37733,1.37733,0,1.23881,2.1168,9.35484e+06,3.61194e+06,1.28847e+07,0,0,0,0
85.139,85.139,4.70807,0,0,2.37158,2.37158,0,0.444341,4.47552,4.5014e+06,2.70226e+06,1.06755e+07,0,0,0,0,99.3022,98.274,7.10526,0,1,1.37763,1.37763,0,1.06413,2.1168,9.35484e+06,3.61194e+06,1.28875e+07,0,0,0,0
