0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,2.78083,0.05,0,2.16737,2.46977,0,0,4.47552,3.94875e+06,2.70226e+06,8.55841e+06,0,0,0,0,99.1848,98.274,1.96715,0,1,1.73502,1.43262,0,0,2.1168,8.20631e+06,3.61194e+06,1.42381e+07,0,0,0,0
84.7591,85.139,2.28456,0.05,0,2.18908,2.47074,0,0.406166,4.47552,3.94875e+06,2.70226e+06,8.64414e+06,0,0,0,0,99.1366,98.274,2.16944,0,1,1.71484,1.43318,0,1.34047,2.1168,8.20631e+06,3.61194e+06,1.40725e+07,0,0,0,0
85.139,85.139,3.93532,0.07,0,2.14464,2.47172,0,0.410234,4.47552,3.94875e+06,2.70226e+06,8.46865e+06,0,0,0,0,99.3022,98.274,3.65172,0,1,1.68817,1.43374,0,1.32489,2.1168,8.20631e+06,3.61194e+06,1.38537e+07,0,0,0,0
85.139,85.139,2.98821,0.05,0,2.19215,2.47269,0,0.401906,4.47552,3.94875e+06,2.70226e+06,8.65627e+06,0,0,0,0,99.1738,98.274,2.77038,0,1,1.71484,1.43431,0,1.30428,2.1168,8.20631e+06,3.61194e+06,1.40725e+07,0,0,0,0
85.139,85.139,3.471,0.05,0,2.43497,2.71494,0,0.41081,4.47552,3.94875e+06,2.70226e+06,9.61508e+06,0,0,0,0,99.0568,98.274,2.87258,0,1,1.88356,1.60358,0,1.32489,2.1168,8.20631e+06,3.61194e+06,1.5457e+07,0,0,0,0
85.139,85.139,3.18229,0.05,0,2.60531,2.71601,0,0.456313,4.47552,3.94875e+06,2.70226e+06,1.02877e+07,0,0,0,0,98.871,98.274,3.12179,0,1,1.71491,1.60421,0,1.45523,2.1168,8.20631e+06,3.61194e+06,1.40731e+07,0,0,0,0
84.8587,85.139,2.72956,0.05,0,2.60701,2.71708,0,0.488235,4.47552,3.94875e+06,2.70226e+06,1.02944e+07,0,0,0,0,98.9075,98.274,2.21728,0,1,1.71491,1.60485,0,1.32494,2.1168,8.20631e+06,3.61194e+06,1.40731e+07,0,0,0,0
85.139,85.139,4.8758,0.05,0,2.60871,2.71814,0,0.488554,4.47552,3.94875e+06,2.70226e+06,1.03011e+07,0,0,0,0,99.1649,98.274,3.36357,0,1,1.71491,1.60548,0,1.32494,2.1168,8.20631e+06,3.61194e+06,1.40731e+07,0,0,0,0
85.139,85.139,3.79187,0.05,0,2.26573,2.37454,0,0.488872,4.47552,3.94875e+06,2.70226e+06,8.94681e+06,0,0,0,0,99.3022,98.274,2.75969,0,1,1.48814,1.37934,0,1.32494,2.1168,8.20631e+06,3.61194e+06,1.22122e+07,0,0,0,0
85.139,85.139,4.57566,0.05,0,2.07307,2.37547,0,0.424598,4.47552,3.94875e+06,2.70226e+06,8.18603e+06,0,0,0,0,99.3022,98.274,3.49961,0,1,1.68228,1.37988,0,1.14974,2.1168,8.20631e+06,3.61194e+06,1.38053e+07,0,0,0,0
85.139,85.139,4.32963,0.05,0,2.074,2.3764,0,0.388493,4.47552,3.94875e+06,2.70226e+06,8.18972e+06,0,0,0,0,99.0073,98.274,2.74927,0,1,1.68283,1.38043,0,1.29973,2.1168,8.20631e+06,3.61194e+06,1.38098e+07,0,0,0,0
85.139,85.139,3.4364,0.05,0,2.07494,2.37734,0,0.388668,4.47552,3.94875e+06,2.70226e+06,8.19341e+06,0,0,0,0,99.1323,98.274,2.25026,0,1,1.68337,1.38097,0,1.30015,2.1168,8.20631e+06,3.61194e+06,1.38142e+07,0,0,0,0
85.139,85.139,4.83416,0.05,0,2.07587,2.37827,0,0.388843,4.47552,3.94875e+06,2.70226e+06,8.1971e+06,0,0,0,0,99.3022,98.274,2.66871,0,1,1.68391,1.38151,0,1.30057,2.1168,8.20631e+06,3.61194e+06,1.38187e+07,0,0,0,0
85.139,85.139,6.41956,0.05,0,2.16374,2.46614,0,0.389018,4.47552,3.94875e+06,2.70226e+06,8.54406e+06,0,0,0,0,99.3022,98.274,3.62544,0,1,1.74004,1.43764,0,1.30099,2.1168,8.20631e+06,3.61194e+06,1.42793e+07,0,0,0,0
