0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity
72.29,72.29,7.11443,0.05,1,2.16737,2.46977,0,0,3.6288,99.3022,98.274,4.06834,0,1,1.73502,1.43262,0,0,2.1168
72.29,72.29,4.01172,0.05,1,2.18869,2.47036,0,0.406166,3.6288,99.3022,98.274,3.16008,0,1,1.71462,1.43296,0,1.34047,2.1168
72.0772,72.29,2.65143,0.05,1,2.18962,2.47094,0,0.410161,3.6288,99.3022,98.274,3.23439,0,1,1.71462,1.4333,0,1.32472,2.1168
72.29,72.29,9.88503,0.07,1,2.19054,2.47153,0,0.410335,3.6288,99.3022,98.274,9.67965,0,1,1.71462,1.43364,0,1.32472,2.1168
72.29,72.29,5.72479,0.05,1,2.43259,2.71324,0,0.410508,3.6288,99.3022,98.274,4.84412,0,1,1.88322,1.60258,0,1.32472,2.1168
72.29,72.29,5.36185,0.05,1,2.60218,2.71388,0,0.455868,3.6288,99.3022,98.274,4.73818,0,1,1.71466,1.60296,0,1.45498,2.1168
72.29,72.29,8.98718,0.05,1,2.60321,2.71453,0,0.487649,3.6288,99.3022,98.274,5.90246,0,1,1.71466,1.60334,0,1.32475,2.1168
72.29,72.29,7.94222,0.05,1,2.60423,2.71517,0,0.487841,3.6288,99.3022,98.274,5.92482,0,1,1.71466,1.60372,0,1.32475,2.1168
72.29,72.29,3.62942,0.05,1,2.26101,2.37157,0,0.488032,3.6288,99.3022,98.274,3.63391,0,1,1.48818,1.37762,0,1.32475,2.1168
72.29,72.29,4.16434,0.05,1,2.06973,2.37213,0,0.423712,3.6288,99.3022,98.274,5.79613,0,1,1.68034,1.37794,0,1.14976,2.1168
72.29,72.29,3.68267,0.05,1,2.07029,2.37269,0,0.387867,3.6288,99.3022,98.274,4.09129,0,1,1.68067,1.37827,0,1.29823,2.1168
