0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.31943e-52,2.19712e+07,0,0,1.40959e+07
0,0,0,0,0,2.19793e+07,0,0,1.40959e+07
0,0,0,0,0,2.19874e+07,0,0,1.40959e+07
0,0,0,0,0,2.19955e+07,0,0,1.40959e+07
0,0,0,0,0,2.43638e+07,0,0,1.40959e+07
0,0,0,0,0,2.43728e+07,0,0,1.40959e+07
0,0,0,0,0,2.43818e+07,0,0,1.40959e+07
0,0,0,0,0,2.43908e+07,0,0,1.40959e+07
0,0,0,0,0,2.11345e+07,0,0,1.40959e+07
0,0,0,0,0,2.11423e+07,0,0,1.40959e+07
0,0,0,0,0,2.115e+07,0,0,1.40959e+07
0,0,0,0,0,2.11578e+07,0,0,1.40959e+07
0,0,0,0,0,2.11656e+07,0,0,1.40959e+07
0,0,0,0,0,2.19849e+07,0,0,1.40959e+07
0,0,0,0,0,2.1993e+07,0,0,1.40959e+07
0,0,0,0,0,2.20011e+07,0,0,1.40959e+07
0,0,0,0,0,2.20092e+07,0,0,1.40959e+07
0,0,0,0,0,2.17007e+07,0,0,1.40959e+07
0,0,0,0,0,2.17087e+07,0,0,1.40959e+07
0,0,0,0,0,2.17167e+07,0,0,1.40959e+07
0,0,0,0,0,2.17246e+07,0,0,1.40959e+07
0,0,0,0,0,2.28336e+07,0,0,1.40959e+07
0,0,0,0,0,2.2842e+07,0,0,1.40959e+07
0,0,0,0,0,2.28504e+07,0,0,1.40959e+07
0,0,0,0,0,2.28588e+07,0,0,1.40959e+07
0,0,0,0,0,2.28672e+07,0,0,1.40959e+07
0,0,0,0,0,2.30853e+07,0,0,1.40959e+07
0,0,0,0,0,2.30938e+07,0,0,1.40959e+07
0,0,0,0,0,2.31022e+07,0,0,1.40959e+07
0,0,0,0,0,2.31107e+07,0,0,1.40959e+07
0,0,0,0,0,2.36714e+07,0,0,1.40959e+07
0,0,0,0,0,2.36801e+07,0,0,1.40959e+07
0,0,0,0,0,2.36888e+07,0,0,1.40959e+07
0,0,0,0,0,2.36975e+07,0,0,1.40959e+07
0,0,0,0,0,2.55171e+07,0,0,1.40959e+07
0,0,0,0,0,2.55265e+07,0,0,1.40959e+07
0,0,0,0,0,2.55359e+07,0,0,1.40959e+07
0,0,0,0,0,2.55452e+07,0,0,1.40959e+07
0,0,0,0,0,2.55546e+07,0,0,1.40959e+07
0,0,0,0,0,2.45583e+07,0,0,1.40959e+07
0,0,0,0,0,2.45673e+07,0,0,1.40959e+07
0,0,0,0,0,2.45763e+07,0,0,1.40959e+07
0,0,0,0,0,2.58224e+07,-795112,795112,1.40959e+07
0,0,0,0,0,2.49471e+07,-793615,793615,1.40959e+07
0,0,0,0,0,2.52453e+07,-979706,979706,1.40959e+07
0,0,0,0,0,2.52518e+07,-978278,978278,1.40959e+07
0,0,0,0,0,2.37385e+07,0,0,1.40959e+07
0,0,0,0,0,2.16651e+07,0,0,1.40959e+07
0,0,0,0,0,2.16731e+07,0,0,1.40959e+07
0,0,0,0,0,2.1681e+07,0,0,1.40959e+07
0,0,0,0,0,2.1689e+07,0,0,1.40959e+07
0,0,0,0,0,2.16969e+07,0,0,1.40959e+07
0,0,0,0,2.31943e-52,2.23953e+07,0,0,1.40959e+07
0,0,0,0,0,2.24033e+07,0,0,1.40959e+07
0,0,0,0,0,2.24112e+07,0,0,1.40959e+07
0,0,0,0,0,2.24192e+07,0,0,1.40959e+07
0,0,0,0,0,2.48328e+07,0,0,1.40959e+07
0,0,0,0,0,2.48416e+07,0,0,1.40959e+07
0,0,0,0,0,2.48504e+07,0,0,1.40959e+07
0,0,0,0,0,2.48592e+07,0,0,1.40959e+07
0,0,0,0,0,2.15401e+07,0,0,1.40959e+07
0,0,0,0,0,2.15477e+07,0,0,1.40959e+07
0,0,0,0,0,2.15554e+07,0,0,1.40959e+07
0,0,0,0,0,2.1563e+07,0,0,1.40959e+07
0,0,0,0,0,2.15707e+07,0,0,1.40959e+07
0,0,0,0,0,2.24053e+07,0,0,1.40959e+07
0,0,0,0,0,2.24133e+07,0,0,1.40959e+07
0,0,0,0,0,2.24213e+07,0,0,1.40959e+07
0,0,0,0,0,2.24292e+07,0,0,1.40959e+07
0,0,0,0,0,2.21145e+07,0,0,1.40959e+07
0,0,0,0,0,2.21223e+07,0,0,1.40959e+07
0,0,0,0,0,2.21302e+07,0,0,1.40959e+07
0,0,0,0,0,2.2138e+07,0,0,1.40959e+07
0,0,0,0,0,2.32678e+07,0,0,1.40959e+07
0,0,0,0,0,2.3276e+07,0,0,1.40959e+07
0,0,0,0,0,2.32843e+07,0,0,1.40959e+07
0,0,0,0,0,2.32925e+07,0,0,1.40959e+07
0,0,0,0,0,2.33008e+07,0,0,1.40959e+07
0,0,0,0,0,2.35226e+07,0,0,1.40959e+07
0,0,0,0,0,2.35309e+07,0,0,1.40959e+07
0,0,0,0,0,2.35393e+07,0,0,1.40959e+07
0,0,0,0,0,2.35476e+07,0,0,1.40959e+07
0,0,0,0,0,2.41186e+07,0,0,1.40959e+07
0,0,0,0,0,2.41271e+07,0,0,1.40959e+07
0,0,0,0,0,2.41357e+07,0,0,1.40959e+07
0,0,0,0,0,2.41442e+07,0,0,1.40959e+07
0,0,0,0,0,2.59977e+07,0,0,1.40959e+07
0,0,0,0,0,2.60069e+07,0,0,1.40959e+07
0,0,0,0,0,2.60161e+07,0,0,1.40959e+07
0,0,0,0,0,2.60254e+07,0,0,1.40959e+07
0,0,0,0,0,2.60346e+07,0,0,1.40959e+07
0,0,0,0,0,2.58182e+07,-513597,513597,1.40959e+07
0,0,0,0,0,2.5028e+07,0,0,1.40959e+07
0,0,0,0,0,2.61574e+07,-720230,720230,1.40959e+07
0,0,0,0,0,2.6164e+07,-718761,718761,1.40959e+07
0,0,0,0,0,2.5272e+07,-717292,717292,1.40959e+07
0,0,0,0,0,2.55756e+07,-906921,906921,1.40959e+07
0,0,0,0,0,2.5582e+07,-905519,905519,1.40959e+07
