0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.281663,-0.281663
1.000000,1.000000,0.281272,-0.281272
1.000000,1.000000,0.280881,-0.280881
1.000000,1.000000,0.28049,-0.28049
1.000000,1.000000,0.111469,-0.111469
1.000000,1.000000,0.111031,-0.111031
1.000000,1.000000,0.110593,-0.110593
1.000000,1.000000,0.110156,-0.110156
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.278887,-0.278887
1.000000,1.000000,0.278495,-0.278495
1.000000,1.000000,0.278103,-0.278103
1.000000,1.000000,0.277712,-0.277712
1.000000,1.000000,0.298898,-0.298898
1.000000,1.000000,0.298511,-0.298511
1.000000,1.000000,0.298125,-0.298125
1.000000,1.000000,0.297739,-0.297739
1.000000,1.000000,0.220745,-0.220745
1.000000,1.000000,0.220338,-0.220338
1.000000,1.000000,0.21993,-0.21993
1.000000,1.000000,0.219522,-0.219522
1.000000,1.000000,0.219114,-0.219114
1.000000,1.000000,0.176544,-0.176544
1.000000,1.000000,0.176125,-0.176125
1.000000,1.000000,0.175705,-0.175705
1.000000,1.000000,0.175285,-0.175285
1.000000,1.000000,0.137249,-0.137249
1.000000,1.000000,0.136818,-0.136818
1.000000,1.000000,0.136388,-0.136388
1.000000,1.000000,0.135957,-0.135957
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0798752,-0.0798752
1.000000,1.000000,0.0794294,-0.0794294
1.000000,1.000000,0.0789833,-0.0789833
1.000000,1.000000,0.0785371,-0.0785371
1.000000,1.000000,0.153372,-0.153372
1.000000,1.000000,0.152946,-0.152946
1.000000,1.000000,0.15252,-0.15252
1.000000,1.000000,0.152094,-0.152094
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.261202,-0.261202
1.000000,1.000000,0.260818,-0.260818
1.000000,1.000000,0.260434,-0.260434
1.000000,1.000000,0.26005,-0.26005
1.000000,1.000000,0.0886336,-0.0886336
1.000000,1.000000,0.088204,-0.088204
1.000000,1.000000,0.0877741,-0.0877741
1.000000,1.000000,0.0873443,-0.0873443
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.3024,-0.3024
1.000000,1.000000,0.258551,-0.258551
1.000000,1.000000,0.258166,-0.258166
1.000000,1.000000,0.257782,-0.257782
1.000000,1.000000,0.257397,-0.257397
1.000000,1.000000,0.278895,-0.278895
1.000000,1.000000,0.278516,-0.278516
1.000000,1.000000,0.278136,-0.278136
1.000000,1.000000,0.277757,-0.277757
1.000000,1.000000,0.199691,-0.199691
1.000000,1.000000,0.199291,-0.199291
1.000000,1.000000,0.19889,-0.19889
1.000000,1.000000,0.19849,-0.19849
1.000000,1.000000,0.198089,-0.198089
1.000000,1.000000,0.154934,-0.154934
1.000000,1.000000,0.154522,-0.154522
1.000000,1.000000,0.15411,-0.15411
1.000000,1.000000,0.153698,-0.153698
1.000000,1.000000,0.115142,-0.115142
1.000000,1.000000,0.11472,-0.11472
1.000000,1.000000,0.114297,-0.114297
1.000000,1.000000,0.113874,-0.113874
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0570938,-0.0570938
1.000000,1.000000,0.0566561,-0.0566561
1.000000,1.000000,0.0562183,-0.0562183
1.000000,1.000000,0.0557803,-0.0557803
1.000000,1.000000,0.13167,-0.13167
1.000000,1.000000,0.131252,-0.131252
1.000000,1.000000,0.130833,-0.130833
1.000000,1.000000,0.130415,-0.130415
1.000000,1.000000,0.289133,-0.289133
1.000000,1.000000,0.288756,-0.288756
1.000000,1.000000,0.28838,-0.28838
1.000000,1.000000,0.288003,-0.288003
1.000000,1.000000,0.287627,-0.287627
1.000000,1.000000,0.241115,-0.241115
1.000000,1.000000,0.240739,-0.240739
1.000000,1.000000,0.240363,-0.240363
1.000000,1.000000,0.239986,-0.239986
1.000000,1.000000,0.0662197,-0.0662197
1.000000,1.000000,0.0657989,-0.0657989
1.000000,1.000000,0.0653778,-0.0653778
1.000000,1.000000,0.0649568,-0.0649568
1.000000,1.000000,0.297465,-0.297465
1.000000,1.000000,0.297103,-0.297103
1.000000,1.000000,0.296741,-0.296741
1.000000,1.000000,0.296379,-0.296379
1.000000,1.000000,0.296017,-0.296017
1.000000,1.000000,0.238599,-0.238599
1.000000,1.000000,0.238222,-0.238222
1.000000,1.000000,0.237845,-0.237845
1.000000,1.000000,0.237468,-0.237468
1.000000,1.000000,0.259274,-0.259274
1.000000,1.000000,0.258902,-0.258902
1.000000,1.000000,0.258531,-0.258531
1.000000,1.000000,0.258159,-0.258159
1.000000,1.000000,0.179041,-0.179041
1.000000,1.000000,0.17865,-0.17865
1.000000,1.000000,0.178257,-0.178257
1.000000,1.000000,0.177865,-0.177865
1.000000,1.000000,0.177473,-0.177473
1.000000,1.000000,0.133746,-0.133746
1.000000,1.000000,0.133342,-0.133342
1.000000,1.000000,0.132939,-0.132939
1.000000,1.000000,0.132535,-0.132535
1.000000,1.000000,0.0934706,-0.0934706
1.000000,1.000000,0.0930568,-0.0930568
1.000000,1.000000,0.0926429,-0.0926429
1.000000,1.000000,0.092229,-0.092229
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0347708,-0.0347708
1.000000,1.000000,0.0343422,-0.0343422
1.000000,1.000000,0.0339135,-0.0339135
1.000000,1.000000,0.0334846,-0.0334846
1.000000,1.000000,0.110409,-0.110409
1.000000,1.000000,0.109999,-0.109999
1.000000,1.000000,0.10959,-0.10959
1.000000,1.000000,0.10918,-0.10918
1.000000,1.000000,0.270039,-0.270039
1.000000,1.000000,0.26967,-0.26967
1.000000,1.000000,0.269302,-0.269302
1.000000,1.000000,0.268933,-0.268933
1.000000,1.000000,0.268564,-0.268564
1.000000,1.000000,0.221444,-0.221444
1.000000,1.000000,0.221077,-0.221077
1.000000,1.000000,0.220709,-0.220709
1.000000,1.000000,0.220341,-0.220341
1.000000,1.000000,0.0442742,-0.0442742
1.000000,1.000000,0.0438628,-0.0438628
1.000000,1.000000,0.0434514,-0.0434514
1.000000,1.000000,0.0430398,-0.0430398
1.000000,1.000000,0.27865,-0.27865
1.000000,1.000000,0.278297,-0.278297
1.000000,1.000000,0.277943,-0.277943
1.000000,1.000000,0.277589,-0.277589
1.000000,1.000000,0.277235,-0.277235
1.000000,1.000000,0.21907,-0.21907
1.000000,1.000000,0.218702,-0.218702
1.000000,1.000000,0.218334,-0.218334
1.000000,1.000000,0.217965,-0.217965
1.000000,1.000000,0.240072,-0.240072
1.000000,1.000000,0.239709,-0.239709
1.000000,1.000000,0.239346,-0.239346
1.000000,1.000000,0.238983,-0.238983
1.000000,1.000000,0.158837,-0.158837
1.000000,1.000000,0.158454,-0.158454
1.000000,1.000000,0.158071,-0.158071
1.000000,1.000000,0.157688,-0.157688
1.000000,1.000000,0.157305,-0.157305
1.000000,1.000000,0.113018,-0.113018
1.000000,1.000000,0.112624,-0.112624
1.000000,1.000000,0.112229,-0.112229
1.000000,1.000000,0.111835,-0.111835
1.000000,1.000000,0.072274,-0.072274
1.000000,1.000000,0.0718696,-0.0718696
1.000000,1.000000,0.0714652,-0.0714652
1.000000,1.000000,0.0710608,-0.0710608
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0129449,-0.0129449
1.000000,1.000000,0.012526,-0.012526
1.000000,1.000000,0.0121071,-0.0121071
1.000000,1.000000,0.0116881,-0.0116881
1.000000,1.000000,0.0896243,-0.0896243
1.000000,1.000000,0.0892243,-0.0892243
1.000000,1.000000,0.0888243,-0.0888243
1.000000,1.000000,0.0884242,-0.0884242
1.000000,1.000000,0.251376,-0.251376
1.000000,1.000000,0.251016,-0.251016
1.000000,1.000000,0.250656,-0.250656
1.000000,1.000000,0.250295,-0.250295
1.000000,1.000000,0.249935,-0.249935
1.000000,1.000000,0.202222,-0.202222
1.000000,1.000000,0.201863,-0.201863
1.000000,1.000000,0.201504,-0.201504
1.000000,1.000000,0.201145,-0.201145
1.000000,1.000000,0.0228314,-0.0228314
1.000000,1.000000,0.0224301,-0.0224301
1.000000,1.000000,0.0220286,-0.0220286
1.000000,1.000000,0.0216271,-0.0216271
1.000000,1.000000,0.260269,-0.260269
1.000000,1.000000,0.259924,-0.259924
1.000000,1.000000,0.259579,-0.259579
1.000000,1.000000,0.259234,-0.259234
1.000000,1.000000,0.258889,-0.258889
1.000000,1.000000,0.199995,-0.199995
1.000000,1.000000,0.199636,-0.199636
1.000000,1.000000,0.199276,-0.199276
1.000000,1.000000,0.198917,-0.198917
1.000000,1.000000,0.221319,-0.221319
1.000000,1.000000,0.220964,-0.220964
1.000000,1.000000,0.22061,-0.22061
1.000000,1.000000,0.220256,-0.220256
1.000000,1.000000,0.139107,-0.139107
1.000000,1.000000,0.138734,-0.138734
1.000000,1.000000,0.13836,-0.13836
