0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,6.01157,0.05,0,2.16737,2.46977,0,0,4.47552,4.44956e+06,2.70226e+06,9.64385e+06,0,0,0,0,99.3022,98.274,7.08458,0,1,1.73502,1.43262,0,0,2.1168,9.24709e+06,3.61194e+06,1.60439e+07,0,0,0,0
85.139,85.139,5.17691,0.05,0,2.18902,2.47069,0,0.406166,4.47552,4.44956e+06,2.70226e+06,9.74019e+06,0,0,0,0,99.3022,98.274,6.41062,0,1,1.71481,1.43315,0,1.34047,2.1168,9.24709e+06,3.61194e+06,1.5857e+07,0,0,0,0
85.139,85.139,4.71223,0.05,0,2.19047,2.4716,0,0.410223,4.47552,4.44956e+06,2.70226e+06,9.74662e+06,0,0,0,0,99.3022,98.274,5.96145,0,1,1.71481,1.43368,0,1.32486,2.1168,9.24709e+06,3.61194e+06,1.5857e+07,0,0,0,0
85.139,85.139,4.80544,0.05,0,2.19191,2.47252,0,0.410494,4.47552,4.44956e+06,2.70226e+06,9.75305e+06,0,0,0,0,99.3022,98.274,6.07569,0,1,1.71481,1.43421,0,1.32486,2.1168,9.24709e+06,3.61194e+06,1.5857e+07,0,0,0,0
85.139,85.139,10.7912,0.05,0,2.43461,2.71468,0,0.410765,4.47552,4.44956e+06,2.70226e+06,1.08329e+07,0,0,0,0,99.3022,98.274,12.4023,0,1,1.88351,1.60343,0,1.32486,2.1168,9.24709e+06,3.61194e+06,1.74169e+07,0,0,0,0
85.139,85.139,10.4447,0.05,0,2.60484,2.71569,0,0.456246,4.47552,4.44956e+06,2.70226e+06,1.15904e+07,0,0,0,0,99.3022,98.274,8.77379,0,1,1.71487,1.60403,0,1.4552,2.1168,9.24709e+06,3.61194e+06,1.58576e+07,0,0,0,0
85.139,85.139,8.46365,0.05,0,2.60644,2.71669,0,0.488147,4.47552,4.44956e+06,2.70226e+06,1.15975e+07,0,0,0,0,99.3022,98.274,6.38919,0,1,1.71487,1.60462,0,1.32491,2.1168,9.24709e+06,3.61194e+06,1.58576e+07,0,0,0,0
85.139,85.139,7.93778,0.05,0,2.60804,2.7177,0,0.488447,4.47552,4.44956e+06,2.70226e+06,1.16046e+07,0,0,0,0,99.3022,98.274,6.6504,0,1,1.71487,1.60521,0,1.32491,2.1168,9.24709e+06,3.61194e+06,1.58576e+07,0,0,0,0
85.139,85.139,7.46205,0.05,0,2.26502,2.37409,0,0.488746,4.47552,4.44956e+06,2.70226e+06,1.00784e+07,0,0,0,0,99.3022,98.274,7.1623,0,1,1.48815,1.37908,0,1.32491,2.1168,9.24709e+06,3.61194e+06,1.3761e+07,0,0,0,0
85.139,85.139,7.7566,0.05,0,2.07257,2.37497,0,0.424466,4.47552,4.44956e+06,2.70226e+06,9.22202e+06,0,0,0,0,99.3022,98.274,8.00265,0,1,1.68199,1.37959,0,1.14974,2.1168,9.24709e+06,3.61194e+06,1.55535e+07,0,0,0,0
85.139,85.139,7.83428,0.05,0,2.07345,2.37585,0,0.388399,4.47552,4.44956e+06,2.70226e+06,9.22592e+06,0,0,0,0,99.3022,98.274,7.80111,0,1,1.6825,1.3801,0,1.29951,2.1168,9.24709e+06,3.61194e+06,1.55583e+07,0,0,0,0
85.139,85.139,7.24372,0.05,0,2.07433,2.37673,0,0.388564,4.47552,4.44956e+06,2.70226e+06,9.22983e+06,0,0,0,0,99.3022,98.274,7.31851,0,1,1.68301,1.38061,0,1.2999,2.1168,9.24709e+06,3.61194e+06,1.5563e+07,0,0,0,0
85.139,85.139,7.55073,0.05,0,2.0752,2.3776,0,0.388729,4.47552,4.44956e+06,2.70226e+06,9.23374e+06,0,0,0,0,99.3022,98.274,7.4355,0,1,1.68352,1.38112,0,1.3003,2.1168,9.24709e+06,3.61194e+06,1.55677e+07,0,0,0,0
