0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,5.43485e-310,2.41177e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.40333e+07,-815452,815452,1.28595e+07
0,0,0,0,0,2.40398e+07,-813805,813805,1.28595e+07
0,0,0,0,0,2.40463e+07,-812157,812157,1.28595e+07
0,0,0,0,0,2.65255e+07,-810509,810509,1.28595e+07
0,0,0,0,0,2.5773e+07,-320415,320415,1.28595e+07
0,0,0,0,0,2.57802e+07,-318572,318572,1.28595e+07
0,0,0,0,0,2.57873e+07,-316729,316729,1.28595e+07
0,0,0,0,0,2.23857e+07,-314885,314885,1.28595e+07
0,0,0,0,0,2.32666e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.32753e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.3284e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.32926e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.41471e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.40398e+07,-800724,800724,1.28595e+07
0,0,0,0,0,2.40463e+07,-799074,799074,1.28595e+07
0,0,0,0,0,2.40528e+07,-797424,797424,1.28595e+07
0,0,0,0,0,2.37293e+07,-795773,795773,1.28595e+07
0,0,0,0,0,2.3833e+07,-856726,856726,1.28595e+07
0,0,0,0,0,2.38394e+07,-855099,855099,1.28595e+07
0,0,0,0,0,2.38458e+07,-853472,853472,1.28595e+07
0,0,0,0,0,2.50025e+07,-851844,851844,1.28595e+07
0,0,0,0,0,2.46634e+07,-627854,627854,1.28595e+07
0,0,0,0,0,2.46701e+07,-626137,626137,1.28595e+07
0,0,0,0,0,2.46768e+07,-624420,624420,1.28595e+07
0,0,0,0,0,2.46835e+07,-622703,622703,1.28595e+07
0,0,0,0,0,2.49617e+07,-620985,620985,1.28595e+07
0,0,0,0,0,2.4778e+07,-496811,496811,1.28595e+07
0,0,0,0,0,2.47847e+07,-495044,495044,1.28595e+07
0,0,0,0,0,2.47915e+07,-493276,493276,1.28595e+07
0,0,0,0,0,2.53738e+07,-491508,491508,1.28595e+07
0,0,0,0,0,2.52107e+07,-380432,380432,1.28595e+07
0,0,0,0,0,2.52177e+07,-378619,378619,1.28595e+07
0,0,0,0,0,2.52246e+07,-376807,376807,1.28595e+07
0,0,0,0,0,2.71434e+07,-374994,374994,1.28595e+07
0,0,0,0,0,2.65705e+07,0,0,1.28595e+07
0,0,0,0,0,2.6581e+07,0,0,1.28595e+07
0,0,0,0,0,2.65915e+07,0,0,1.28595e+07
0,0,0,0,0,2.6602e+07,0,0,1.28595e+07
0,0,0,0,0,2.55369e+07,0,0,1.28595e+07
0,0,0,0,0,2.58713e+07,-208482,208482,1.28595e+07
0,0,0,0,0,2.58785e+07,-206604,206604,1.28595e+07
0,0,0,0,0,2.58856e+07,-204725,204725,1.28595e+07
0,0,0,0,0,2.49439e+07,-202847,202847,1.28595e+07
0,0,0,0,0,2.52916e+07,-420071,420071,1.28595e+07
0,0,0,0,0,2.52986e+07,-418278,418278,1.28595e+07
0,0,0,0,0,2.53055e+07,-416484,416484,1.28595e+07
0,0,0,0,0,2.31117e+07,-414690,414690,1.28595e+07
0,0,0,0,0,2.38289e+07,-869945,869945,1.28595e+07
0,0,0,0,0,2.38352e+07,-868330,868330,1.28595e+07
0,0,0,0,0,2.38416e+07,-866715,866715,1.28595e+07
0,0,0,0,0,2.3848e+07,-865099,865099,1.28595e+07
0,0,0,0,6.22226e-320,2.45717e+07,-863483,863483,1.28595e+07
0,0,0,0,0,2.43718e+07,-729293,729293,1.28595e+07
0,0,0,0,0,2.43782e+07,-727675,727675,1.28595e+07
0,0,0,0,0,2.43845e+07,-726058,726058,1.28595e+07
0,0,0,0,0,2.69148e+07,-724439,724439,1.28595e+07
0,0,0,0,0,2.61465e+07,-224258,224258,1.28595e+07
0,0,0,0,0,2.61535e+07,-222449,222449,1.28595e+07
0,0,0,0,0,2.61605e+07,-220639,220639,1.28595e+07
0,0,0,0,0,2.26884e+07,-218829,218829,1.28595e+07
0,0,0,0,0,2.37186e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.37271e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.37356e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.37442e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.46159e+07,-875487,875487,1.28595e+07
0,0,0,0,0,2.43752e+07,-715091,715091,1.28595e+07
0,0,0,0,0,2.43816e+07,-713471,713471,1.28595e+07
0,0,0,0,0,2.43879e+07,-711851,711851,1.28595e+07
0,0,0,0,0,2.40575e+07,-710230,710230,1.28595e+07
0,0,0,0,0,2.41632e+07,-772497,772497,1.28595e+07
0,0,0,0,0,2.41694e+07,-770899,770899,1.28595e+07
0,0,0,0,0,2.41757e+07,-769301,769301,1.28595e+07
0,0,0,0,0,2.53558e+07,-767703,767703,1.28595e+07
0,0,0,0,0,2.50095e+07,-539195,539195,1.28595e+07
0,0,0,0,0,2.50161e+07,-537510,537510,1.28595e+07
0,0,0,0,0,2.50227e+07,-535824,535824,1.28595e+07
0,0,0,0,0,2.50293e+07,-534138,534138,1.28595e+07
0,0,0,0,0,2.53128e+07,-532451,532451,1.28595e+07
0,0,0,0,0,2.51251e+07,-405814,405814,1.28595e+07
0,0,0,0,0,2.51317e+07,-404079,404079,1.28595e+07
0,0,0,0,0,2.51384e+07,-402343,402343,1.28595e+07
0,0,0,0,0,2.57323e+07,-400607,400607,1.28595e+07
0,0,0,0,0,2.55656e+07,-287343,287343,1.28595e+07
0,0,0,0,0,2.55724e+07,-285564,285564,1.28595e+07
0,0,0,0,0,2.55792e+07,-283784,283784,1.28595e+07
0,0,0,0,0,2.75366e+07,-282004,282004,1.28595e+07
0,0,0,0,0,2.71082e+07,0,0,1.28595e+07
0,0,0,0,0,2.71185e+07,0,0,1.28595e+07
0,0,0,0,0,2.71288e+07,0,0,1.28595e+07
0,0,0,0,0,2.71391e+07,0,0,1.28595e+07
0,0,0,0,0,2.60521e+07,0,0,1.28595e+07
0,0,0,0,0,2.62371e+07,-112551,112551,1.28595e+07
0,0,0,0,0,2.62441e+07,-110708,110708,1.28595e+07
0,0,0,0,0,2.62512e+07,-108864,108864,1.28595e+07
0,0,0,0,0,2.52903e+07,-107020,107020,1.28595e+07
0,0,0,0,0,2.56447e+07,-328686,328686,1.28595e+07
0,0,0,0,0,2.56515e+07,-326926,326926,1.28595e+07
0,0,0,0,0,2.56583e+07,-325165,325165,1.28595e+07
0,0,0,0,0,2.34203e+07,-323404,323404,1.28595e+07
0,0,0,0,0,2.41516e+07,-787857,787857,1.28595e+07
0,0,0,0,0,2.41578e+07,-786272,786272,1.28595e+07
0,0,0,0,0,2.41641e+07,-784687,784687,1.28595e+07
