0rest_m,1rest_m,0transf,1transf
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
0.886126,0.886126,0,-0
