0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,7.1746,0,0,2.46977,2.46977,0,0,4.47552,4.04156e+06,2.70226e+06,9.98172e+06,0,0,0,0,99.3022,98.274,9.11011,0,1,1.43262,1.43262,0,0,2.1168,8.39918e+06,3.61194e+06,1.20328e+07,0,0,0,0
85.139,85.139,5.38063,0,0,2.47059,2.47059,0,0.462835,4.47552,4.04156e+06,2.70226e+06,9.98504e+06,0,0,0,0,99.3022,98.274,6.18679,0,1,1.43309,1.43309,0,1.10684,2.1168,8.39918e+06,3.61194e+06,1.20368e+07,0,0,0,0
85.139,85.139,6.47042,0,0,2.47141,2.47141,0,0.462989,4.47552,4.04156e+06,2.70226e+06,9.98836e+06,0,0,0,0,99.3022,98.274,7.16394,0,1,1.43357,1.43357,0,1.10721,2.1168,8.39918e+06,3.61194e+06,1.20408e+07,0,0,0,0
85.139,85.139,5.03784,0,0,2.47224,2.47224,0,0.463143,4.47552,4.04156e+06,2.70226e+06,9.99168e+06,0,0,0,0,99.3022,98.274,6.81883,0,1,1.43405,1.43405,0,1.10758,2.1168,8.39918e+06,3.61194e+06,1.20448e+07,0,0,0,0
85.139,85.139,4.25681,0,0,2.71427,2.71427,0,0.463297,4.47552,4.04156e+06,2.70226e+06,1.09699e+07,0,0,0,0,99.3022,98.274,5.58194,0,1,1.60319,1.60319,0,1.10794,2.1168,8.39918e+06,3.61194e+06,1.34655e+07,0,0,0,0
85.139,85.139,6.3125,0,0,2.71518,2.71518,0,0.508655,4.47552,4.04156e+06,2.70226e+06,1.09735e+07,0,0,0,0,99.3022,98.274,8.01707,0,1,1.60372,1.60372,0,1.23863,2.1168,8.39918e+06,3.61194e+06,1.347e+07,0,0,0,0
85.139,85.139,4.31043,0,0,2.71608,2.71608,0,0.508824,4.47552,4.04156e+06,2.70226e+06,1.09772e+07,0,0,0,0,99.3022,98.274,5.60821,0,1,1.60426,1.60426,0,1.23904,2.1168,8.39918e+06,3.61194e+06,1.34744e+07,0,0,0,0
85.139,85.139,4.42094,0,0,2.71698,2.71698,0,0.508993,4.47552,4.04156e+06,2.70226e+06,1.09808e+07,0,0,0,0,99.3022,98.274,4.39014,0,1,1.60479,1.60479,0,1.23945,2.1168,8.39918e+06,3.61194e+06,1.34789e+07,0,0,0,0
85.139,85.139,4.96696,0,0,2.37337,2.37337,0,0.509162,4.47552,4.04156e+06,2.70226e+06,9.59212e+06,0,0,0,0,99.3022,98.274,6.15003,0,1,1.37867,1.37867,0,1.23986,2.1168,8.39918e+06,3.61194e+06,1.15797e+07,0,0,0,0
85.139,85.139,5.77641,0,0,2.37416,2.37416,0,0.44477,4.47552,4.04156e+06,2.70226e+06,9.5953e+06,0,0,0,0,99.3022,98.274,8.83425,0,1,1.37912,1.37912,0,1.06516,2.1168,8.39918e+06,3.61194e+06,1.15835e+07,0,0,0,0
