0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
0.996667,1,1,1
1,1,1,1
0.99,1,1,1
0.976667,1,1,1
0.983333,1,1,1
0.99,1,1,1
0.986667,1,1,1
0.99,1,1,1
0.98,1,1,1
0.98,1,0.996667,1
0.98,1,1,1
0.99,1,1,1
0.97,1,1,1
0.956667,1,1,1
0.97,1,1,1
0.943333,1,1,1
0.946667,1,1,1
0.956667,1,1,1
0.94,1,1,1
0.92,1,0.996667,1
0.923333,1,1,1
0.936667,1,1,1
0.926667,1,1,1
0.903333,1,1,1
0.896667,1,1,1
0.9,1,1,1
0.87,1,1,1
0.893333,1,1,1
0.896667,1,1,1
0.883333,1,1,1
0.84,1,1,1
0.83,1,1,1
0.82,1,1,1
0.83,1,0.996667,1
0.863333,1,0.996667,1
0.876667,1,1,1
0.87,1,1,1
0.886667,1,1,1
0.876667,1,1,1
