0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000499492,2.39931e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.39073e+07,-811239,811239,1.27931e+07
0,0,0,0,0,2.39124e+07,-809942,809942,1.27931e+07
0,0,0,0,0,2.39175e+07,-808645,808645,1.27931e+07
0,0,0,0,0,2.63817e+07,-807348,807348,1.27931e+07
0,0,0,0,0,2.56318e+07,-320289,320289,1.27931e+07
0,0,0,0,0,2.56375e+07,-318838,318838,1.27931e+07
0,0,0,0,0,2.56431e+07,-317387,317387,1.27931e+07
0,0,0,0,0,2.22598e+07,-315936,315936,1.27931e+07
0,0,0,0,0,2.31301e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.3137e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.31438e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.31507e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.3998e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.38963e+07,-801033,801033,1.27931e+07
0,0,0,0,0,2.39014e+07,-799735,799735,1.27931e+07
0,0,0,0,0,2.39065e+07,-798435,798435,1.27931e+07
0,0,0,0,0,2.35838e+07,-797136,797136,1.27931e+07
0,0,0,0,0,2.36856e+07,-858029,858029,1.27931e+07
0,0,0,0,0,2.36906e+07,-856749,856749,1.27931e+07
0,0,0,0,0,2.36956e+07,-855468,855468,1.27931e+07
0,0,0,0,0,2.48431e+07,-854186,854186,1.27931e+07
0,0,0,0,0,2.45049e+07,-632074,632074,1.27931e+07
0,0,0,0,0,2.45102e+07,-630723,630723,1.27931e+07
0,0,0,0,0,2.45155e+07,-629371,629371,1.27931e+07
0,0,0,0,0,2.45207e+07,-628020,628020,1.27931e+07
0,0,0,0,0,2.47954e+07,-626667,626667,1.27931e+07
0,0,0,0,0,2.46117e+07,-503752,503752,1.27931e+07
0,0,0,0,0,2.4617e+07,-502361,502361,1.27931e+07
0,0,0,0,0,2.46223e+07,-500970,500970,1.27931e+07
0,0,0,0,0,2.51989e+07,-499578,499578,1.27931e+07
0,0,0,0,0,2.50356e+07,-389711,389711,1.27931e+07
0,0,0,0,0,2.5041e+07,-388284,388284,1.27931e+07
0,0,0,0,0,2.50465e+07,-386857,386857,1.27931e+07
0,0,0,0,0,2.69486e+07,-385430,385430,1.27931e+07
0,0,0,0,0,2.63572e+07,0,0,1.27931e+07
0,0,0,0,0,2.63655e+07,0,0,1.27931e+07
0,0,0,0,0,2.63738e+07,0,0,1.27931e+07
0,0,0,0,0,2.63821e+07,0,0,1.27931e+07
0,0,0,0,0,2.53237e+07,0,0,1.27931e+07
0,0,0,0,0,2.56778e+07,-222534,222534,1.27931e+07
0,0,0,0,0,2.56835e+07,-221056,221056,1.27931e+07
0,0,0,0,0,2.56891e+07,-219578,219578,1.27931e+07
0,0,0,0,0,2.47541e+07,-218099,218099,1.27931e+07
0,0,0,0,0,2.50974e+07,-433823,433823,1.27931e+07
0,0,0,0,0,2.51028e+07,-432412,432412,1.27931e+07
0,0,0,0,0,2.51083e+07,-431000,431000,1.27931e+07
0,0,0,0,0,2.29329e+07,-429587,429587,1.27931e+07
0,0,0,0,0,2.36265e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.36335e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.36405e+07,-870964,870964,1.27931e+07
0,0,0,0,0,2.36475e+07,-870964,870964,1.27931e+07
0,0,0,4.58674e+08,0.000499492,2.43652e+07,-870964,870964,1.27931e+07
0,0,0,4.58674e+08,0,2.41737e+07,-743416,743416,1.27931e+07
