0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.90858e-33,1.98053e+07,0,0,1.27063e+07
0,0,0,0,0,1.9813e+07,0,0,1.27063e+07
0,0,0,0,0,1.98207e+07,0,0,1.27063e+07
0,0,0,0,0,1.98284e+07,0,0,1.27063e+07
0,0,0,0,0,2.19638e+07,0,0,1.27063e+07
0,0,0,0,0,2.19723e+07,0,0,1.27063e+07
0,0,0,0,0,2.19808e+07,0,0,1.27063e+07
0,0,0,0,0,2.19893e+07,0,0,1.27063e+07
0,0,0,0,0,1.9054e+07,0,0,1.27063e+07
0,0,0,0,0,1.90613e+07,0,0,1.27063e+07
0,0,0,0,0,1.90687e+07,0,0,1.27063e+07
0,0,0,0,0,1.90761e+07,0,0,1.27063e+07
0,0,0,0,0,1.90835e+07,0,0,1.27063e+07
0,0,0,0,0,1.98226e+07,0,0,1.27063e+07
0,0,0,0,0,1.98303e+07,0,0,1.27063e+07
0,0,0,0,0,1.98379e+07,0,0,1.27063e+07
0,0,0,0,0,1.98456e+07,0,0,1.27063e+07
0,0,0,0,0,1.95678e+07,0,0,1.27063e+07
0,0,0,0,0,1.95753e+07,0,0,1.27063e+07
0,0,0,0,0,1.95829e+07,0,0,1.27063e+07
0,0,0,0,0,1.95905e+07,0,0,1.27063e+07
0,0,0,0,0,2.05909e+07,0,0,1.27063e+07
0,0,0,0,0,2.05989e+07,0,0,1.27063e+07
0,0,0,0,0,2.06068e+07,0,0,1.27063e+07
0,0,0,0,0,2.06148e+07,0,0,1.27063e+07
0,0,0,0,0,2.06228e+07,0,0,1.27063e+07
0,0,0,0,0,2.08198e+07,0,0,1.27063e+07
0,0,0,0,0,2.08278e+07,0,0,1.27063e+07
0,0,0,0,0,2.08359e+07,0,0,1.27063e+07
0,0,0,0,0,2.0844e+07,0,0,1.27063e+07
0,0,0,0,0,2.135e+07,0,0,1.27063e+07
0,0,0,0,0,2.13583e+07,0,0,1.27063e+07
0,0,0,0,0,2.13665e+07,0,0,1.27063e+07
0,0,0,0,0,2.13748e+07,0,0,1.27063e+07
0,0,0,0,0,2.30164e+07,0,0,1.27063e+07
0,0,0,0,0,2.30253e+07,0,0,1.27063e+07
0,0,0,0,0,2.30342e+07,0,0,1.27063e+07
0,0,0,0,0,2.30431e+07,0,0,1.27063e+07
0,0,0,0,0,2.3052e+07,0,0,1.27063e+07
0,0,0,0,0,2.21536e+07,0,0,1.27063e+07
0,0,0,0,0,2.21622e+07,0,0,1.27063e+07
0,0,0,0,0,2.21707e+07,0,0,1.27063e+07
0,0,0,0,0,2.21793e+07,0,0,1.27063e+07
0,0,0,0,0,2.13921e+07,0,0,1.27063e+07
0,0,0,0,0,2.14004e+07,0,0,1.27063e+07
0,0,0,0,0,2.14086e+07,0,0,1.27063e+07
0,0,0,0,0,2.14169e+07,0,0,1.27063e+07
0,0,0,0,0,1.95467e+07,0,0,1.27063e+07
0,0,0,0,0,1.95542e+07,0,0,1.27063e+07
0,0,0,0,0,1.95618e+07,0,0,1.27063e+07
0,0,0,0,0,1.95693e+07,0,0,1.27063e+07
0,0,0,0,0,1.95769e+07,0,0,1.27063e+07
0,0,0,0,2.90858e-33,2.02073e+07,0,0,1.27063e+07
0,0,0,0,0,2.02149e+07,0,0,1.27063e+07
0,0,0,0,0,2.02224e+07,0,0,1.27063e+07
0,0,0,0,0,2.023e+07,0,0,1.27063e+07
0,0,0,0,0,2.24083e+07,0,0,1.27063e+07
0,0,0,0,0,2.24166e+07,0,0,1.27063e+07
0,0,0,0,0,2.2425e+07,0,0,1.27063e+07
