0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.90858e-33,2.01297e+07,0,0,1.29144e+07
0,0,0,0,0,2.01389e+07,0,0,1.29144e+07
0,0,0,0,0,2.01481e+07,0,0,1.29144e+07
0,0,0,0,0,2.01574e+07,0,0,1.29144e+07
0,0,0,0,0,2.23298e+07,0,0,1.29144e+07
0,0,0,0,0,2.234e+07,0,0,1.29144e+07
0,0,0,0,0,2.23502e+07,0,0,1.29144e+07
0,0,0,0,0,2.23605e+07,0,0,1.29144e+07
0,0,0,0,0,1.9377e+07,0,0,1.29144e+07
0,0,0,0,0,1.93858e+07,0,0,1.29144e+07
0,0,0,0,0,1.93947e+07,0,0,1.29144e+07
0,0,0,0,0,1.94036e+07,0,0,1.29144e+07
0,0,0,0,0,1.94125e+07,0,0,1.29144e+07
0,0,0,0,0,2.01657e+07,0,0,1.29144e+07
0,0,0,0,0,2.0175e+07,0,0,1.29144e+07
0,0,0,0,0,2.01842e+07,0,0,1.29144e+07
0,0,0,0,0,2.01934e+07,0,0,1.29144e+07
0,0,0,0,0,1.99121e+07,0,0,1.29144e+07
0,0,0,0,0,1.99212e+07,0,0,1.29144e+07
0,0,0,0,0,1.99303e+07,0,0,1.29144e+07
0,0,0,0,0,1.99394e+07,0,0,1.29144e+07
0,0,0,0,0,2.09591e+07,0,0,1.29144e+07
0,0,0,0,0,2.09687e+07,0,0,1.29144e+07
0,0,0,0,0,2.09783e+07,0,0,1.29144e+07
0,0,0,0,0,2.09879e+07,0,0,1.29144e+07
0,0,0,0,0,2.09975e+07,0,0,1.29144e+07
0,0,0,0,0,2.11996e+07,0,0,1.29144e+07
0,0,0,0,0,2.12092e+07,0,0,1.29144e+07
0,0,0,0,0,2.12189e+07,0,0,1.29144e+07
0,0,0,0,0,2.12286e+07,0,0,1.29144e+07
0,0,0,0,0,2.17455e+07,0,0,1.29144e+07
0,0,0,0,0,2.17555e+07,0,0,1.29144e+07
0,0,0,0,0,2.17654e+07,0,0,1.29144e+07
0,0,0,0,0,2.17753e+07,0,0,1.29144e+07
0,0,0,0,0,2.34494e+07,0,0,1.29144e+07
0,0,0,0,0,2.34601e+07,0,0,1.29144e+07
0,0,0,0,0,2.34708e+07,0,0,1.29144e+07
0,0,0,0,0,2.34814e+07,0,0,1.29144e+07
0,0,0,0,0,2.34921e+07,0,0,1.29144e+07
0,0,0,0,0,2.25782e+07,0,0,1.29144e+07
0,0,0,0,0,2.25885e+07,0,0,1.29144e+07
0,0,0,0,0,2.25988e+07,0,0,1.29144e+07
0,0,0,0,0,2.2609e+07,0,0,1.29144e+07
0,0,0,0,0,2.18081e+07,0,0,1.29144e+07
0,0,0,0,0,2.18181e+07,0,0,1.29144e+07
0,0,0,0,0,2.1828e+07,0,0,1.29144e+07
0,0,0,0,0,2.18379e+07,0,0,1.29144e+07
0,0,0,0,0,1.99323e+07,0,0,1.29144e+07
0,0,0,0,0,1.99414e+07,0,0,1.29144e+07
0,0,0,0,0,1.99505e+07,0,0,1.29144e+07
0,0,0,0,0,1.99595e+07,0,0,1.29144e+07
0,0,0,0,0,1.99686e+07,0,0,1.29144e+07
0,0,0,0,2.90858e-33,2.06131e+07,0,0,1.29144e+07
0,0,0,0,0,2.06222e+07,0,0,1.29144e+07
0,0,0,0,0,2.06312e+07,0,0,1.29144e+07
0,0,0,0,0,2.06403e+07,0,0,1.29144e+07
0,0,0,0,0,2.28643e+07,0,0,1.29144e+07
0,0,0,0,0,2.28744e+07,0,0,1.29144e+07
0,0,0,0,0,2.28844e+07,0,0,1.29144e+07
0,0,0,0,0,2.28945e+07,0,0,1.29144e+07
0,0,0,0,0,1.98393e+07,0,0,1.29144e+07
0,0,0,0,0,1.98481e+07,0,0,1.29144e+07
0,0,0,0,0,1.98568e+07,0,0,1.29144e+07
0,0,0,0,0,1.98655e+07,0,0,1.29144e+07
0,0,0,0,0,1.98742e+07,0,0,1.29144e+07
0,0,0,0,0,2.0645e+07,0,0,1.29144e+07
0,0,0,0,0,2.06541e+07,0,0,1.29144e+07
0,0,0,0,0,2.06631e+07,0,0,1.29144e+07
0,0,0,0,0,2.06722e+07,0,0,1.29144e+07
0,0,0,0,0,2.03838e+07,0,0,1.29144e+07
0,0,0,0,0,2.03928e+07,0,0,1.29144e+07
0,0,0,0,0,2.04017e+07,0,0,1.29144e+07
0,0,0,0,0,2.04107e+07,0,0,1.29144e+07
0,0,0,0,0,2.14541e+07,0,0,1.29144e+07
0,0,0,0,0,2.14635e+07,0,0,1.29144e+07
0,0,0,0,0,2.14729e+07,0,0,1.29144e+07
0,0,0,0,0,2.14823e+07,0,0,1.29144e+07
0,0,0,0,0,2.14917e+07,0,0,1.29144e+07
0,0,0,0,0,2.16981e+07,0,0,1.29144e+07
0,0,0,0,0,2.17076e+07,0,0,1.29144e+07
0,0,0,0,0,2.17171e+07,0,0,1.29144e+07
0,0,0,0,0,2.17266e+07,0,0,1.29144e+07
0,0,0,0,0,2.22553e+07,0,0,1.29144e+07
0,0,0,0,0,2.2265e+07,0,0,1.29144e+07
0,0,0,0,0,2.22748e+07,0,0,1.29144e+07
0,0,0,0,0,2.22845e+07,0,0,1.29144e+07
0,0,0,0,0,2.39973e+07,0,0,1.29144e+07
0,0,0,0,0,2.40078e+07,0,0,1.29144e+07
0,0,0,0,0,2.40183e+07,0,0,1.29144e+07
0,0,0,0,0,2.40288e+07,0,0,1.29144e+07
0,0,0,0,0,2.40393e+07,0,0,1.29144e+07
0,0,0,0,0,2.31036e+07,0,0,1.29144e+07
0,0,0,0,0,2.31137e+07,0,0,1.29144e+07
0,0,0,0,0,2.31238e+07,0,0,1.29144e+07
0,0,0,0,0,2.31339e+07,0,0,1.29144e+07
0,0,0,0,0,2.2314e+07,0,0,1.29144e+07
0,0,0,0,0,2.23237e+07,0,0,1.29144e+07
0,0,0,0,0,2.23335e+07,0,0,1.29144e+07
0,0,0,0,0,2.23432e+07,0,0,1.29144e+07
0,0,0,0,0,2.03932e+07,0,0,1.29144e+07
0,0,0,0,0,2.04021e+07,0,0,1.29144e+07
0,0,0,0,0,2.0411e+07,0,0,1.29144e+07
0,0,0,0,0,2.04199e+07,0,0,1.29144e+07
0,0,0,0,0,2.04288e+07,0,0,1.29144e+07
0,0,0,0,2.90858e-33,2.10877e+07,0,0,1.29144e+07
0,0,0,0,0,2.10966e+07,0,0,1.29144e+07
0,0,0,0,0,2.11055e+07,0,0,1.29144e+07
0,0,0,0,0,2.11144e+07,0,0,1.29144e+07
0,0,0,0,0,2.3389e+07,0,0,1.29144e+07
0,0,0,0,0,2.33989e+07,0,0,1.29144e+07
0,0,0,0,0,2.34087e+07,0,0,1.29144e+07
0,0,0,0,0,2.34186e+07,0,0,1.29144e+07
0,0,0,0,0,2.02931e+07,0,0,1.29144e+07
0,0,0,0,0,2.03016e+07,0,0,1.29144e+07
0,0,0,0,0,2.03102e+07,0,0,1.29144e+07
0,0,0,0,0,2.03187e+07,0,0,1.29144e+07
0,0,0,0,0,2.03273e+07,0,0,1.29144e+07
0,0,0,0,0,2.11152e+07,0,0,1.29144e+07
0,0,0,0,0,2.11241e+07,0,0,1.29144e+07
0,0,0,0,0,2.1133e+07,0,0,1.29144e+07
0,0,0,0,0,2.11418e+07,0,0,1.29144e+07
0,0,0,0,0,2.08465e+07,0,0,1.29144e+07
0,0,0,0,0,2.08553e+07,0,0,1.29144e+07
0,0,0,0,0,2.0864e+07,0,0,1.29144e+07
0,0,0,0,0,2.08728e+07,0,0,1.29144e+07
0,0,0,0,0,2.19394e+07,0,0,1.29144e+07
0,0,0,0,0,2.19486e+07,0,0,1.29144e+07
0,0,0,0,0,2.19579e+07,0,0,1.29144e+07
0,0,0,0,0,2.19671e+07,0,0,1.29144e+07
0,0,0,0,0,2.19763e+07,0,0,1.29144e+07
0,0,0,0,0,2.2187e+07,0,0,1.29144e+07
0,0,0,0,0,2.21963e+07,0,0,1.29144e+07
0,0,0,0,0,2.22056e+07,0,0,1.29144e+07
0,0,0,0,0,2.22149e+07,0,0,1.29144e+07
0,0,0,0,0,2.2755e+07,0,0,1.29144e+07
0,0,0,0,0,2.27645e+07,0,0,1.29144e+07
0,0,0,0,0,2.27741e+07,0,0,1.29144e+07
0,0,0,0,0,2.27836e+07,0,0,1.29144e+07
0,0,0,0,0,2.45343e+07,0,0,1.29144e+07
0,0,0,0,0,2.45446e+07,0,0,1.29144e+07
