0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.90858e-33,2.12197e+07,0,0,1.36137e+07
0,0,0,0,0,2.12262e+07,0,0,1.36137e+07
0,0,0,0,0,2.12327e+07,0,0,1.36137e+07
0,0,0,0,0,2.12392e+07,0,0,1.36137e+07
0,0,0,0,0,2.35246e+07,0,0,1.36137e+07
0,0,0,0,0,2.35318e+07,0,0,1.36137e+07
0,0,0,0,0,2.3539e+07,0,0,1.36137e+07
0,0,0,0,0,2.35462e+07,0,0,1.36137e+07
0,0,0,0,0,2.04013e+07,0,0,1.36137e+07
0,0,0,0,0,2.04076e+07,0,0,1.36137e+07
0,0,0,0,0,2.04138e+07,0,0,1.36137e+07
0,0,0,0,0,2.042e+07,0,0,1.36137e+07
0,0,0,0,0,2.04263e+07,0,0,1.36137e+07
0,0,0,0,0,2.12156e+07,0,0,1.36137e+07
0,0,0,0,0,2.12221e+07,0,0,1.36137e+07
0,0,0,0,0,2.12286e+07,0,0,1.36137e+07
0,0,0,0,0,2.12351e+07,0,0,1.36137e+07
0,0,0,0,0,2.09361e+07,0,0,1.36137e+07
0,0,0,0,0,2.09425e+07,0,0,1.36137e+07
0,0,0,0,0,2.09489e+07,0,0,1.36137e+07
0,0,0,0,0,2.09553e+07,0,0,1.36137e+07
0,0,0,0,0,2.20236e+07,0,0,1.36137e+07
0,0,0,0,0,2.20303e+07,0,0,1.36137e+07
0,0,0,0,0,2.2037e+07,0,0,1.36137e+07
0,0,0,0,0,2.20438e+07,0,0,1.36137e+07
0,0,0,0,0,2.20505e+07,0,0,1.36137e+07
0,0,0,0,0,2.22593e+07,0,0,1.36137e+07
0,0,0,0,0,2.22661e+07,0,0,1.36137e+07
0,0,0,0,0,2.22729e+07,0,0,1.36137e+07
0,0,0,0,0,2.22797e+07,0,0,1.36137e+07
0,0,0,0,0,2.28188e+07,0,0,1.36137e+07
0,0,0,0,0,2.28258e+07,0,0,1.36137e+07
0,0,0,0,0,2.28328e+07,0,0,1.36137e+07
0,0,0,0,0,2.28397e+07,0,0,1.36137e+07
0,0,0,0,0,2.45919e+07,0,0,1.36137e+07
0,0,0,0,0,2.45994e+07,0,0,1.36137e+07
0,0,0,0,0,2.46069e+07,0,0,1.36137e+07
0,0,0,0,0,2.46145e+07,0,0,1.36137e+07
0,0,0,0,0,2.4622e+07,0,0,1.36137e+07
0,0,0,0,0,2.36605e+07,0,0,1.36137e+07
0,0,0,0,0,2.36677e+07,0,0,1.36137e+07
0,0,0,0,0,2.36749e+07,0,0,1.36137e+07
0,0,0,0,0,2.36822e+07,0,0,1.36137e+07
0,0,0,0,0,2.28398e+07,0,0,1.36137e+07
0,0,0,0,0,2.28468e+07,0,0,1.36137e+07
0,0,0,0,0,2.28538e+07,0,0,1.36137e+07
0,0,0,0,0,2.28607e+07,0,0,1.36137e+07
0,0,0,0,0,2.08628e+07,0,0,1.36137e+07
0,0,0,0,0,2.08692e+07,0,0,1.36137e+07
0,0,0,0,0,2.08755e+07,0,0,1.36137e+07
0,0,0,0,0,2.08819e+07,0,0,1.36137e+07
0,0,0,0,0,2.08883e+07,0,0,1.36137e+07
0,0,0,0,2.90858e-33,2.15593e+07,0,0,1.36137e+07
0,0,0,0,0,2.15657e+07,0,0,1.36137e+07
0,0,0,0,0,2.15721e+07,0,0,1.36137e+07
0,0,0,0,0,2.15784e+07,0,0,1.36137e+07
0,0,0,0,0,2.39001e+07,0,0,1.36137e+07
0,0,0,0,0,2.39071e+07,0,0,1.36137e+07
0,0,0,0,0,2.39142e+07,0,0,1.36137e+07
0,0,0,0,0,2.39213e+07,0,0,1.36137e+07
0,0,0,0,0,2.07261e+07,0,0,1.36137e+07
0,0,0,0,0,2.07322e+07,0,0,1.36137e+07
0,0,0,0,0,2.07383e+07,0,0,1.36137e+07
0,0,0,0,0,2.07445e+07,0,0,1.36137e+07
0,0,0,0,0,2.07506e+07,0,0,1.36137e+07
0,0,0,0,0,2.15523e+07,0,0,1.36137e+07
0,0,0,0,0,2.15586e+07,0,0,1.36137e+07
0,0,0,0,0,2.1565e+07,0,0,1.36137e+07
0,0,0,0,0,2.15714e+07,0,0,1.36137e+07
0,0,0,0,0,2.12674e+07,0,0,1.36137e+07
0,0,0,0,0,2.12737e+07,0,0,1.36137e+07
0,0,0,0,0,2.128e+07,0,0,1.36137e+07
0,0,0,0,0,2.12862e+07,0,0,1.36137e+07
0,0,0,0,0,2.23712e+07,0,0,1.36137e+07
0,0,0,0,0,2.23778e+07,0,0,1.36137e+07
0,0,0,0,0,2.23844e+07,0,0,1.36137e+07
0,0,0,0,0,2.2391e+07,0,0,1.36137e+07
0,0,0,0,0,2.23976e+07,0,0,1.36137e+07
0,0,0,0,0,2.26095e+07,0,0,1.36137e+07
0,0,0,0,0,2.26162e+07,0,0,1.36137e+07
0,0,0,0,0,2.26229e+07,0,0,1.36137e+07
0,0,0,0,0,2.26296e+07,0,0,1.36137e+07
0,0,0,0,0,2.31769e+07,0,0,1.36137e+07
0,0,0,0,0,2.31837e+07,0,0,1.36137e+07
