0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.31943e-52,2.02481e+07,0,0,1.29904e+07
0,0,0,0,0,2.02571e+07,0,0,1.29904e+07
0,0,0,0,0,2.0266e+07,0,0,1.29904e+07
0,0,0,0,0,2.0275e+07,0,0,1.29904e+07
0,0,0,0,0,2.24597e+07,0,0,1.29904e+07
0,0,0,0,0,2.24697e+07,0,0,1.29904e+07
0,0,0,0,0,2.24797e+07,0,0,1.29904e+07
0,0,0,0,0,2.24896e+07,0,0,1.29904e+07
0,0,0,0,0,1.94886e+07,0,0,1.29904e+07
0,0,0,0,0,1.94972e+07,0,0,1.29904e+07
0,0,0,0,0,1.95058e+07,0,0,1.29904e+07
0,0,0,0,0,1.95145e+07,0,0,1.29904e+07
0,0,0,0,0,1.95231e+07,0,0,1.29904e+07
0,0,0,0,0,2.02803e+07,0,0,1.29904e+07
0,0,0,0,0,2.02893e+07,0,0,1.29904e+07
0,0,0,0,0,2.02983e+07,0,0,1.29904e+07
0,0,0,0,0,2.03073e+07,0,0,1.29904e+07
0,0,0,0,0,2.00241e+07,0,0,1.29904e+07
0,0,0,0,0,2.00329e+07,0,0,1.29904e+07
0,0,0,0,0,2.00418e+07,0,0,1.29904e+07
0,0,0,0,0,2.00506e+07,0,0,1.29904e+07
0,0,0,0,0,2.10757e+07,0,0,1.29904e+07
0,0,0,0,0,2.1085e+07,0,0,1.29904e+07
0,0,0,0,0,2.10943e+07,0,0,1.29904e+07
0,0,0,0,0,2.11037e+07,0,0,1.29904e+07
0,0,0,0,0,2.1113e+07,0,0,1.29904e+07
0,0,0,0,0,2.13158e+07,0,0,1.29904e+07
0,0,0,0,0,2.13253e+07,0,0,1.29904e+07
0,0,0,0,0,2.13347e+07,0,0,1.29904e+07
0,0,0,0,0,2.13441e+07,0,0,1.29904e+07
0,0,0,0,0,2.18635e+07,0,0,1.29904e+07
0,0,0,0,0,2.18732e+07,0,0,1.29904e+07
0,0,0,0,0,2.18828e+07,0,0,1.29904e+07
0,0,0,0,0,2.18925e+07,0,0,1.29904e+07
0,0,0,0,0,2.35752e+07,0,0,1.29904e+07
0,0,0,0,0,2.35856e+07,0,0,1.29904e+07
0,0,0,0,0,2.3596e+07,0,0,1.29904e+07
0,0,0,0,0,2.36064e+07,0,0,1.29904e+07
0,0,0,0,0,2.36168e+07,0,0,1.29904e+07
0,0,0,0,0,2.26976e+07,0,0,1.29904e+07
0,0,0,0,0,2.27076e+07,0,0,1.29904e+07
0,0,0,0,0,2.27176e+07,0,0,1.29904e+07
0,0,0,0,0,2.38499e+07,-721352,721352,1.29904e+07
0,0,0,0,0,2.30419e+07,-719694,719694,1.29904e+07
0,0,0,0,0,2.33188e+07,-891460,891460,1.29904e+07
0,0,0,0,0,2.3326e+07,-889877,889877,1.29904e+07
0,0,0,0,0,2.19511e+07,0,0,1.29904e+07
0,0,0,0,0,2.00354e+07,0,0,1.29904e+07
0,0,0,0,0,2.00442e+07,0,0,1.29904e+07
0,0,0,0,0,2.0053e+07,0,0,1.29904e+07
0,0,0,0,0,2.00618e+07,0,0,1.29904e+07
0,0,3770.31,0,0,2.00706e+07,0,3770.31,1.29904e+07
0,0,0,0,2.31943e-52,2.07181e+07,0,0,1.29904e+07
0,0,0,0,0,2.07269e+07,0,0,1.29904e+07
0,0,0,0,0,2.07358e+07,0,0,1.29904e+07
0,0,0,0,0,2.07446e+07,0,0,1.29904e+07
0,0,0,0,0,2.29795e+07,0,0,1.29904e+07
0,0,0,0,0,2.29893e+07,0,0,1.29904e+07
0,0,0,0,0,2.29991e+07,0,0,1.29904e+07
0,0,0,0,0,2.30088e+07,0,0,1.29904e+07
0,0,0,0,0,1.99381e+07,0,0,1.29904e+07
0,0,0,0,0,1.99466e+07,0,0,1.29904e+07
0,0,0,0,0,1.99551e+07,0,0,1.29904e+07
0,0,0,0,0,1.99636e+07,0,0,1.29904e+07
0,0,0,0,0,1.99721e+07,0,0,1.29904e+07
0,0,0,0,0,2.07463e+07,0,0,1.29904e+07
0,0,0,0,0,2.07551e+07,0,0,1.29904e+07
0,0,0,0,0,2.0764e+07,0,0,1.29904e+07
0,0,0,0,0,2.07728e+07,0,0,1.29904e+07
0,0,0,0,0,2.04827e+07,0,0,1.29904e+07
0,0,0,0,0,2.04914e+07,0,0,1.29904e+07
0,0,0,0,0,2.05001e+07,0,0,1.29904e+07
0,0,0,0,0,2.05088e+07,0,0,1.29904e+07
0,0,0,0,0,2.15569e+07,0,0,1.29904e+07
0,0,0,0,0,2.15661e+07,0,0,1.29904e+07
0,0,0,0,0,2.15752e+07,0,0,1.29904e+07
0,0,0,0,0,2.15844e+07,0,0,1.29904e+07
0,0,0,0,0,2.15935e+07,0,0,1.29904e+07
0,0,0,0,0,2.18006e+07,0,0,1.29904e+07
0,0,0,0,0,2.18098e+07,0,0,1.29904e+07
0,0,0,0,0,2.18191e+07,0,0,1.29904e+07
0,0,0,0,0,2.18283e+07,0,0,1.29904e+07
0,0,0,0,0,2.23591e+07,0,0,1.29904e+07
0,0,0,0,0,2.23686e+07,0,0,1.29904e+07
0,0,0,0,0,2.23781e+07,0,0,1.29904e+07
0,0,0,0,0,2.23876e+07,0,0,1.29904e+07
0,0,0,0,0,2.41079e+07,0,0,1.29904e+07
0,0,0,0,0,2.41181e+07,0,0,1.29904e+07
0,0,0,0,0,2.41283e+07,0,0,1.29904e+07
0,0,0,0,0,2.41385e+07,0,0,1.29904e+07
0,0,0,0,0,2.48472e+07,-448929,448929,1.29904e+07
0,0,0,0,0,2.39043e+07,-447220,447220,1.29904e+07
0,0,0,0,0,2.4214e+07,-639981,639981,1.29904e+07
0,0,0,0,0,2.42213e+07,-638354,638354,1.29904e+07
0,0,0,0,0,2.42286e+07,-636726,636726,1.29904e+07
0,0,0,0,0,2.34021e+07,-635098,635098,1.29904e+07
0,0,0,0,0,2.36849e+07,-810786,810786,1.29904e+07
0,0,0,0,0,2.3692e+07,-809231,809231,1.29904e+07
0,0,0,0,0,2.3699e+07,-807677,807677,1.29904e+07
0,0,0,0,0,2.17376e+07,-806122,806122,1.29904e+07
0,0,0,0,0,2.23194e+07,-1.17449e+06,1.17449e+06,1.29904e+07
0,0,0,0,0,2.23259e+07,-1.17309e+06,1.17309e+06,1.29904e+07
0,0,0,0,0,2.23323e+07,-1.17169e+06,1.17169e+06,1.29904e+07
0,0,3962.69,0,0,2.23388e+07,-1.17029e+06,1.17425e+06,1.29904e+07
0,0,0,0,2.31943e-52,2.29982e+07,-1.16889e+06,1.16889e+06,1.29904e+07
0,0,0,0,0,2.28377e+07,-1.06018e+06,1.06018e+06,1.29904e+07
0,0,0,0,0,2.28441e+07,-1.05878e+06,1.05878e+06,1.29904e+07
0,0,0,0,0,2.28506e+07,-1.05738e+06,1.05738e+06,1.29904e+07
0,0,0,0,0,2.51326e+07,-1.05598e+06,1.05598e+06,1.29904e+07
0,0,0,0,0,2.4512e+07,-650963,650963,1.29904e+07
0,0,0,0,0,2.45192e+07,-649399,649399,1.29904e+07
0,0,0,0,0,2.45263e+07,-647834,647834,1.29904e+07
0,0,0,0,0,2.13848e+07,-646269,646269,1.29904e+07
0,0,0,0,0,2.22348e+07,-1.18725e+06,1.18725e+06,1.29904e+07
0,0,0,0,0,2.2241e+07,-1.1859e+06,1.1859e+06,1.29904e+07
0,0,0,0,0,2.04043e+07,0,0,1.29904e+07
0,0,0,0,0,2.04126e+07,0,0,1.29904e+07
0,0,0,0,0,2.12035e+07,0,0,1.29904e+07
0,0,0,0,0,2.12122e+07,0,0,1.29904e+07
0,0,0,0,0,2.12208e+07,0,0,1.29904e+07
0,0,0,0,0,2.12294e+07,0,0,1.29904e+07
0,0,0,0,0,2.09326e+07,0,0,1.29904e+07
0,0,0,0,0,2.09411e+07,0,0,1.29904e+07
0,0,0,0,0,2.09496e+07,0,0,1.29904e+07
0,0,0,0,0,2.09582e+07,0,0,1.29904e+07
0,0,0,0,0,2.20288e+07,0,0,1.29904e+07
0,0,0,0,0,2.20378e+07,0,0,1.29904e+07
0,0,0,0,0,2.20468e+07,0,0,1.29904e+07
