0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,1.71428,-1.71428
1.000000,1.000000,0.593974,-0.593974
1.000000,1.000000,0.593509,-0.593509
1.000000,1.000000,0.593045,-0.593045
1.000000,1.000000,0.59258,-0.59258
1.000000,1.000000,0.460173,-0.460173
1.000000,1.000000,0.459653,-0.459653
1.000000,1.000000,0.459133,-0.459133
1.000000,1.000000,0.458613,-0.458613
1.000000,1.000000,0.635456,-0.635456
1.000000,1.000000,0.635009,-0.635009
1.000000,1.000000,0.634562,-0.634562
1.000000,1.000000,0.634115,-0.634115
1.000000,1.000000,0.633668,-0.633668
1.000000,1.000000,0.589742,-0.589742
1.000000,1.000000,0.589276,-0.589276
1.000000,1.000000,0.588811,-0.588811
1.000000,1.000000,0.588346,-0.588346
1.000000,1.000000,0.604795,-0.604795
1.000000,1.000000,0.604336,-0.604336
1.000000,1.000000,0.603877,-0.603877
1.000000,1.000000,0.603418,-0.603418
1.000000,1.000000,0.542875,-0.542875
1.000000,1.000000,0.542391,-0.542391
1.000000,1.000000,0.541907,-0.541907
1.000000,1.000000,0.541423,-0.541423
1.000000,1.000000,0.540938,-0.540938
1.000000,1.000000,0.507363,-0.507363
1.000000,1.000000,0.506864,-0.506864
1.000000,1.000000,0.506366,-0.506366
1.000000,1.000000,0.505867,-0.505867
1.000000,1.000000,0.475828,-0.475828
1.000000,1.000000,0.475317,-0.475317
1.000000,1.000000,0.474806,-0.474806
1.000000,1.000000,0.474295,-0.474295
1.000000,1.000000,0.366982,-0.366982
1.000000,1.000000,0.366427,-0.366427
1.000000,1.000000,0.365871,-0.365871
1.000000,1.000000,0.365315,-0.365315
1.000000,1.000000,0.364759,-0.364759
1.000000,1.000000,0.429161,-0.429161
1.000000,1.000000,0.428632,-0.428632
1.000000,1.000000,0.428102,-0.428102
1.000000,1.000000,0.427572,-0.427572
1.000000,1.000000,0.486268,-0.486268
1.000000,1.000000,0.485762,-0.485762
1.000000,1.000000,0.485257,-0.485257
1.000000,1.000000,0.484751,-0.484751
1.000000,1.000000,0.607798,-0.607798
1.000000,1.000000,0.607342,-0.607342
1.000000,1.000000,0.606887,-0.606887
1.000000,1.000000,0.606431,-0.606431
1.000000,1.000000,0.605976,-0.605976
1.000000,1.000000,0.569679,-0.569679
1.000000,1.000000,0.569223,-0.569223
1.000000,1.000000,0.568767,-0.568767
1.000000,1.000000,0.56831,-0.56831
1.000000,1.000000,0.433059,-0.433059
1.000000,1.000000,0.432549,-0.432549
1.000000,1.000000,0.432038,-0.432038
1.000000,1.000000,0.431528,-0.431528
1.000000,1.000000,0.612202,-0.612202
1.000000,1.000000,0.611764,-0.611764
1.000000,1.000000,0.611325,-0.611325
1.000000,1.000000,0.610886,-0.610886
1.000000,1.000000,0.610447,-0.610447
1.000000,1.000000,0.565595,-0.565595
1.000000,1.000000,0.565138,-0.565138
1.000000,1.000000,0.564682,-0.564682
1.000000,1.000000,0.564224,-0.564224
1.000000,1.000000,0.581044,-0.581044
1.000000,1.000000,0.580594,-0.580594
1.000000,1.000000,0.580143,-0.580143
1.000000,1.000000,0.579693,-0.579693
1.000000,1.000000,0.517876,-0.517876
1.000000,1.000000,0.517401,-0.517401
1.000000,1.000000,0.516925,-0.516925
1.000000,1.000000,0.51645,-0.51645
1.000000,1.000000,0.515974,-0.515974
1.000000,1.000000,0.481704,-0.481704
1.000000,1.000000,0.481215,-0.481215
1.000000,1.000000,0.480725,-0.480725
1.000000,1.000000,0.480236,-0.480236
1.000000,1.000000,0.44958,-0.44958
1.000000,1.000000,0.449078,-0.449078
1.000000,1.000000,0.448576,-0.448576
1.000000,1.000000,0.448074,-0.448074
1.000000,1.000000,0.338514,-0.338514
1.000000,1.000000,0.337969,-0.337969
1.000000,1.000000,0.337423,-0.337423
1.000000,1.000000,0.336878,-0.336878
1.000000,1.000000,0.336332,-0.336332
1.000000,1.000000,0.402111,-0.402111
1.000000,1.000000,0.401591,-0.401591
1.000000,1.000000,0.401072,-0.401072
1.000000,1.000000,0.400551,-0.400551
1.000000,1.000000,0.4605,-0.4605
1.000000,1.000000,0.460003,-0.460003
1.000000,1.000000,0.459507,-0.459507
1.000000,1.000000,0.45901,-0.45901
1.000000,1.000000,0.584651,-0.584651
1.000000,1.000000,0.584204,-0.584204
1.000000,1.000000,0.583757,-0.583757
1.000000,1.000000,0.58331,-0.58331
1.000000,1.000000,0.582863,-0.582863
1.000000,1.000000,0.545828,-0.545828
1.000000,1.000000,0.545381,-0.545381
1.000000,1.000000,0.544934,-0.544934
1.000000,1.000000,0.544487,-0.544487
1.000000,1.000000,0.406445,-0.406445
1.000000,1.000000,0.405945,-0.405945
1.000000,1.000000,0.405446,-0.405446
1.000000,1.000000,0.404946,-0.404946
1.000000,1.000000,0.589382,-0.589382
1.000000,1.000000,0.588953,-0.588953
1.000000,1.000000,0.588523,-0.588523
1.000000,1.000000,0.588093,-0.588093
1.000000,1.000000,0.587663,-0.587663
1.000000,1.000000,0.541904,-0.541904
1.000000,1.000000,0.541457,-0.541457
1.000000,1.000000,0.54101,-0.54101
1.000000,1.000000,0.540562,-0.540562
1.000000,1.000000,0.557746,-0.557746
1.000000,1.000000,0.557305,-0.557305
1.000000,1.000000,0.556864,-0.556864
1.000000,1.000000,0.556423,-0.556423
1.000000,1.000000,0.493358,-0.493358
1.000000,1.000000,0.492892,-0.492892
1.000000,1.000000,0.492427,-0.492427
1.000000,1.000000,0.491961,-0.491961
1.000000,1.000000,0.491495,-0.491495
1.000000,1.000000,0.456545,-0.456545
1.000000,1.000000,0.456066,-0.456066
1.000000,1.000000,0.455587,-0.455587
1.000000,1.000000,0.455107,-0.455107
1.000000,1.000000,0.423848,-0.423848
1.000000,1.000000,0.423356,-0.423356
1.000000,1.000000,0.422865,-0.422865
1.000000,1.000000,0.422374,-0.422374
1.000000,1.000000,0.310612,-0.310612
1.000000,1.000000,0.310078,-0.310078
1.000000,1.000000,0.309544,-0.309544
1.000000,1.000000,0.309009,-0.309009
1.000000,1.000000,0.308475,-0.308475
1.000000,1.000000,0.375606,-0.375606
1.000000,1.000000,0.375097,-0.375097
1.000000,1.000000,0.374588,-0.374588
1.000000,1.000000,0.374078,-0.374078
1.000000,1.000000,0.435255,-0.435255
1.000000,1.000000,0.434769,-0.434769
1.000000,1.000000,0.434283,-0.434283
1.000000,1.000000,0.433797,-0.433797
1.000000,1.000000,0.561979,-0.561979
1.000000,1.000000,0.561542,-0.561542
1.000000,1.000000,0.561104,-0.561104
1.000000,1.000000,0.560666,-0.560666
1.000000,1.000000,0.560228,-0.560228
