0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
202626,0,0,0,2.21297e-52,2.02626e+07,202626,0,1.29997e+07
405316,0,0,0,0,2.0269e+07,202690,0,1.29997e+07
608071,0,0,0,0,2.02755e+07,202755,0,1.29997e+07
810891,0,0,0,0,2.0282e+07,202820,0,1.29997e+07
1.03554e+06,0,0,0,0,2.24646e+07,224646,0,1.29997e+07
1.26026e+06,0,0,0,0,2.24718e+07,224718,0,1.29997e+07
1.48505e+06,0,0,0,0,2.2479e+07,224790,0,1.29997e+07
1.70991e+06,0,0,0,0,2.24862e+07,224862,0,1.29997e+07
1.90474e+06,0,0,0,0,1.94831e+07,194831,0,1.29997e+07
2.09963e+06,0,0,0,0,1.94894e+07,194894,0,1.29997e+07
2.29459e+06,0,0,0,0,1.94956e+07,194956,0,1.29997e+07
2.48961e+06,0,0,0,0,1.95018e+07,195018,0,1.29997e+07
2.68469e+06,0,0,0,0,1.9508e+07,195080,0,1.29997e+07
2.88731e+06,0,0,0,0,2.02621e+07,202621,0,1.29997e+07
3.08999e+06,0,0,0,0,2.02686e+07,202686,0,1.29997e+07
3.29274e+06,0,0,0,0,2.02751e+07,202751,0,1.29997e+07
3.49556e+06,0,0,0,0,2.02815e+07,202815,0,1.29997e+07
3.69552e+06,0,0,0,0,1.99962e+07,199962,0,1.29997e+07
3.89555e+06,0,0,0,0,2.00026e+07,200026,0,1.29997e+07
4.09564e+06,0,0,0,0,2.0009e+07,200090,0,1.29997e+07
4.29579e+06,0,0,0,0,2.00153e+07,200153,0,1.29997e+07
4.50615e+06,0,0,0,0,2.1036e+07,210360,0,1.29997e+07
4.71658e+06,0,0,0,0,2.10427e+07,210427,0,1.29997e+07
4.92707e+06,0,0,0,0,2.10494e+07,210494,0,1.29997e+07
5.13763e+06,0,0,0,0,2.10561e+07,210561,0,1.29997e+07
5.34826e+06,0,0,0,0,2.10628e+07,210628,0,1.29997e+07
5.56089e+06,0,0,0,0,2.12626e+07,212626,0,1.29997e+07
5.77358e+06,0,0,0,0,2.12694e+07,212694,0,1.29997e+07
5.98634e+06,0,0,0,0,2.12762e+07,212762,0,1.29997e+07
6.19917e+06,0,0,0,0,2.12829e+07,212829,0,1.29997e+07
6.41715e+06,0,0,0,0,2.17982e+07,217982,0,1.29997e+07
6.6352e+06,0,0,0,0,2.18051e+07,218051,0,1.29997e+07
6.85332e+06,0,0,0,0,2.18121e+07,218121,0,1.29997e+07
7.07152e+06,0,0,0,0,2.1819e+07,218190,0,1.29997e+07
7.30645e+06,0,0,0,0,2.34932e+07,234932,0,1.29997e+07
7.54145e+06,0,0,0,0,2.35007e+07,235007,0,1.29997e+07
7.77654e+06,0,0,0,0,2.35082e+07,235082,0,1.29997e+07
8.01169e+06,0,0,0,0,2.35157e+07,235157,0,1.29997e+07
8.24692e+06,0,0,0,0,2.35232e+07,235232,0,1.29997e+07
8.47297e+06,0,0,0,0,2.26049e+07,226049,0,1.29997e+07
8.69909e+06,0,0,0,0,2.26121e+07,226121,0,1.29997e+07
8.92529e+06,0,0,0,0,2.26193e+07,226193,0,1.29997e+07
9.15155e+06,0,0,0,0,2.26265e+07,226265,0,1.29997e+07
9.36977e+06,0,0,0,0,2.1822e+07,218220,0,1.29997e+07
9.58806e+06,0,0,0,0,2.18289e+07,218289,0,1.29997e+07
9.80642e+06,0,0,0,0,2.18359e+07,218359,0,1.29997e+07
1.00248e+07,0,0,0,0,2.18428e+07,218428,0,1.29997e+07
1.02242e+07,0,0,0,0,1.99341e+07,199341,0,1.29997e+07
1.04236e+07,0,0,0,0,1.99404e+07,199404,0,1.29997e+07
1.06231e+07,0,0,0,0,1.99468e+07,199468,0,1.29997e+07
1.08226e+07,0,0,0,0,1.99531e+07,199531,0,1.29997e+07
1.10222e+07,0,0,0,0,1.99595e+07,199595,0,1.29997e+07
1.12282e+07,0,0,0,2.21297e-52,2.06009e+07,206009,0,1.29997e+07
1.14343e+07,0,0,0,0,2.06073e+07,206073,0,1.29997e+07
1.16404e+07,0,0,0,0,2.06136e+07,206136,0,1.29997e+07
1.18466e+07,0,0,0,0,2.062e+07,206200,0,1.29997e+07
1.2075e+07,0,0,0,0,2.28388e+07,228388,0,1.29997e+07
1.23035e+07,0,0,0,0,2.28458e+07,228458,0,1.29997e+07
1.2532e+07,0,0,0,0,2.28529e+07,228529,0,1.29997e+07
