0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,7.11635e-38,1.93356e+07,0,0,1.24049e+07
0,0,0,0,0,1.93394e+07,0,0,1.24049e+07
0,0,0,0,0,1.93433e+07,0,0,1.24049e+07
0,0,0,0,0,1.93472e+07,0,0,1.24049e+07
0,0,0,0,0,2.14267e+07,0,0,1.24049e+07
0,0,0,0,0,2.14309e+07,0,0,1.24049e+07
0,0,0,0,0,2.14352e+07,0,0,1.24049e+07
0,0,0,0,0,2.14395e+07,0,0,1.24049e+07
0,0,0,0,0,1.85741e+07,0,0,1.24049e+07
0,0,0,0,0,1.85778e+07,0,0,1.24049e+07
0,0,0,0,0,1.85815e+07,0,0,1.24049e+07
0,0,0,0,0,1.85852e+07,0,0,1.24049e+07
0,0,0,0,0,1.85889e+07,0,0,1.24049e+07
0,0,0,0,0,1.93052e+07,0,0,1.24049e+07
0,0,0,0,0,1.93091e+07,0,0,1.24049e+07
0,0,0,0,0,1.93129e+07,0,0,1.24049e+07
0,0,0,0,0,1.93168e+07,0,0,1.24049e+07
0,0,0,0,0,1.90428e+07,0,0,1.24049e+07
0,0,0,0,0,1.90466e+07,0,0,1.24049e+07
0,0,0,0,0,1.90504e+07,0,0,1.24049e+07
0,0,0,0,0,1.90542e+07,0,0,1.24049e+07
0,0,0,0,0,2.00235e+07,0,0,1.24049e+07
0,0,0,0,0,2.00275e+07,0,0,1.24049e+07
0,0,0,0,0,2.00315e+07,0,0,1.24049e+07
0,0,0,0,0,2.00355e+07,0,0,1.24049e+07
0,0,0,0,0,2.00395e+07,0,0,1.24049e+07
0,0,0,0,0,2.02272e+07,0,0,1.24049e+07
0,0,0,0,0,2.02312e+07,0,0,1.24049e+07
0,0,0,0,0,2.02353e+07,0,0,1.24049e+07
0,0,0,0,0,2.02393e+07,0,0,1.24049e+07
0,0,0,0,0,2.07269e+07,0,0,1.24049e+07
0,0,0,0,0,2.0731e+07,0,0,1.24049e+07
0,0,0,0,0,2.07352e+07,0,0,1.24049e+07
0,0,0,0,0,2.07393e+07,0,0,1.24049e+07
0,0,0,0,0,2.2328e+07,0,0,1.24049e+07
0,0,0,0,0,2.23325e+07,0,0,1.24049e+07
0,0,0,0,0,2.23369e+07,0,0,1.24049e+07
0,0,0,0,0,2.23414e+07,0,0,1.24049e+07
0,0,0,0,0,2.23459e+07,0,0,1.24049e+07
0,0,0,0,0,2.1471e+07,0,0,1.24049e+07
0,0,0,0,0,2.14753e+07,0,0,1.24049e+07
0,0,0,0,0,2.14796e+07,0,0,1.24049e+07
