0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,1.62844e-42,2.6909e+07,-1.84919e+06,1.84919e+06,1.35808e+07
0,0,0,0,0,2.53787e+07,-861191,861191,1.35808e+07
0,0,0,0,0,2.53836e+07,-859938,859938,1.35808e+07
0,0,0,0,0,2.53886e+07,-858684,858684,1.35808e+07
0,0,0,0,0,2.80037e+07,-857431,857431,1.35808e+07
0,0,0,0,0,2.72072e+07,-340562,340562,1.35808e+07
0,0,0,0,0,2.72127e+07,-339160,339160,1.35808e+07
0,0,0,0,0,2.72181e+07,-337757,337757,1.35808e+07
0,0,0,0,0,2.36268e+07,-336355,336355,1.35808e+07
0,0,0,0,0,2.4709e+07,-1.0277e+06,1.0277e+06,1.35808e+07
0,0,0,0,0,2.47137e+07,-1.0265e+06,1.0265e+06,1.35808e+07
0,0,0,0,0,2.47185e+07,-1.02529e+06,1.02529e+06,1.35808e+07
0,0,0,0,0,2.47232e+07,-1.02409e+06,1.02409e+06,1.35808e+07
0,0,0,0,0,2.56199e+07,-1.02288e+06,1.02288e+06,1.35808e+07
0,0,0,0,0,2.53608e+07,-851959,851959,1.35808e+07
0,0,0,0,0,2.53657e+07,-850703,850703,1.35808e+07
0,0,0,0,0,2.53707e+07,-849448,849448,1.35808e+07
0,0,0,0,0,2.50278e+07,-848192,848192,1.35808e+07
0,0,0,0,0,2.51353e+07,-912926,912926,1.35808e+07
0,0,0,0,0,2.51401e+07,-911689,911689,1.35808e+07
0,0,0,0,0,2.5145e+07,-910450,910450,1.35808e+07
0,0,0,0,0,2.63619e+07,-909212,909212,1.35808e+07
0,0,0,0,0,2.60026e+07,-673683,673683,1.35808e+07
0,0,0,0,0,2.60077e+07,-672377,672377,1.35808e+07
0,0,0,0,0,2.60128e+07,-671071,671071,1.35808e+07
0,0,0,0,0,2.60179e+07,-669764,669764,1.35808e+07
0,0,0,0,0,2.63088e+07,-668457,668457,1.35808e+07
0,0,0,0,0,2.61134e+07,-538196,538196,1.35808e+07
0,0,0,0,0,2.61185e+07,-536851,536851,1.35808e+07
0,0,0,0,0,2.61236e+07,-535506,535506,1.35808e+07
0,0,0,0,0,2.67347e+07,-534161,534161,1.35808e+07
0,0,0,0,0,2.6561e+07,-417757,417757,1.35808e+07
0,0,0,0,0,2.65662e+07,-416379,416379,1.35808e+07
0,0,0,0,0,2.65715e+07,-414999,414999,1.35808e+07
0,0,0,0,0,2.85884e+07,-413620,413620,1.35808e+07
0,0,0,0,0,2.79529e+07,0,0,1.35808e+07
0,0,0,0,0,2.79608e+07,0,0,1.35808e+07
0,0,0,0,0,2.79688e+07,0,0,1.35808e+07
0,0,0,0,0,2.79768e+07,0,0,1.35808e+07
0,0,0,0,0,2.68537e+07,0,0,1.35808e+07
0,0,0,0,0,2.72374e+07,-241687,241687,1.35808e+07
0,0,0,0,0,2.72428e+07,-240258,240258,1.35808e+07
0,0,0,0,0,2.72483e+07,-238829,238829,1.35808e+07
0,0,0,0,0,2.62564e+07,-237399,237399,1.35808e+07
0,0,0,0,0,2.66199e+07,-466271,466271,1.35808e+07
0,0,0,0,0,2.66252e+07,-464906,464906,1.35808e+07
